reef_short,LABEL_ID,ReefName,region_block,latitude_band,Type,Period,Year,variable,value,latitude_band_percentile,region_percentile,gbr_percentile,includes_summer_202425
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last 10 years,200921,quad_10y,1,7.352941176470588,26.442307692307693,18.02175038839979,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last 10 years,201424,quad_10y,1,19.852941176470587,31.009615384615383,21.82806835836354,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last _summer,202021,quad_1y,1,28.676470588235293,43.99038461538461,24.01605385810461,FALSE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last _summer,202324,quad_1y,1,7.720588235294118,31.25,22.747281201450026,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last 20 years,200424,quad_20y,1,15.808823529411764,26.682692307692307,16.727084412221647,TRUE
Mackay,16-015,Mackay Reef (16-015),Central GBR,16,quad,Last 2 years,202224,quad_2y,1,15.073529411764707,27.16346153846154,24.313827032625582,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last 10 years,201021,cmex_10y,0.659259259259259,68.0672268907563,63.669064748201436,87.23459347488348,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last 10 years,201524,cmex_10y,0.0782608695652174,35.714285714285715,4.676258992805756,8.117555670636976,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last _summer,202121,cmex_1y,0,50,38.1294964028777,38.050233039875714,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last _summer,202424,cmex_1y,0,48.739495798319325,11.151079136690647,29.893837389953394,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last 20 years,200524,cmex_20y,0.481481481481481,80.25210084033614,39.20863309352518,56.43448990160539,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmex,Last 2 years,202324,cmex_2y,0,36.97478991596638,6.83453237410072,9.30864836872087,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last 10 years,200921,cmfi_10y,0.500587503910256,69.1304347826087,53.26086956521739,39.70267321331151,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last 10 years,201424,cmfi_10y,0.808438156841642,85.65217391304348,94.56521739130434,95.5437448896157,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last _summer,202021,cmfi_1y,0.779541432089136,83.91304347826087,84.42028985507247,83.21058374249864,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last _summer,202324,cmfi_1y,0.801637934737689,82.17391304347827,92.3913043478261,75.28688524590164,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last 20 years,200424,cmfi_20y,0.557399021682377,73.47826086956522,72.10144927536231,62.56473153447806,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfi,Last 2 years,202224,cmfi_2y,0.849271687726741,87.3913043478261,92.3913043478261,93.53825136612022,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last 10 years,200920,cmfr_10y,0.68696893185,83.91304347826087,74.27536231884058,72.32678668848881,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last 10 years,201423,cmfr_10y,0.68234176515089,83.04347826086956,75.72463768115942,69.13327882256746,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last _summer,202020,cmfr_1y,0.709922937,83.91304347826087,82.2463768115942,75.60010911074741,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last _summer,202323,cmfr_1y,0.635619922992209,82.17391304347827,74.27536231884058,60.095628415300546,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last 20 years,200423,cmfr_20y,0.685687464546547,83.91304347826087,75.72463768115942,71.39547560643227,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,cmfr,Last 2 years,202223,cmfr_2y,0.645738799209131,82.17391304347827,74.27536231884058,61.81693989071038,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last 10 years,200921,quad_10y,2,23.10924369747899,43.16546762589928,49.17141377524599,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last 10 years,201424,quad_10y,1,20.168067226890756,23.741007194244606,21.82806835836354,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last _summer,202021,quad_1y,1,34.45378151260504,33.45323741007194,24.01605385810461,FALSE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last _summer,202324,quad_1y,1,23.949579831932773,6.83453237410072,22.747281201450026,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last 20 years,200424,quad_20y,1,16.386554621848738,15.467625899280575,16.727084412221647,TRUE
Swinger,15-030,Swinger Reef (15-030),Northern GBR,15,quad,Last 2 years,202224,quad_2y,1,19.747899159663866,31.294964028776977,24.313827032625582,TRUE
