reef_short,LABEL_ID,ReefName,SECT_NAME,SECTOR,region_block,latitude_band,Type,Period,Year,variable,value,includes_summer_202425
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last 20 years,200424,cmfi_20y,0.667154512241574,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfi,Last 2 years,202224,cmfi_2y,0.876737690579072,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last 10 years,200920,cmfr_10y,0.68918408,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last 10 years,201423,cmfr_10y,0.691021757266995,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last _summer,202020,cmfr_1y,0.710526316,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last _summer,202323,cmfr_1y,0.677020077995593,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last 20 years,200423,cmfr_20y,0.687555300237441,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,cmfr,Last 2 years,202223,cmfr_2y,0.693773197676805,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last 10 years,200921,quad_10y,1,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last 10 years,201424,quad_10y,1,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last _summer,202021,quad_1y,1,FALSE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last _summer,202324,quad_1y,1,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last 20 years,200424,quad_20y,1,TRUE
Mackay,16-015,Mackay Reef (16-015),Cairns,CA,Central GBR,16,quad,Last 2 years,202224,quad_2y,1,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last 10 years,201021,cmex_10y,0.659259259259259,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last 10 years,201524,cmex_10y,0.0782608695652174,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last _summer,202121,cmex_1y,0,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last _summer,202424,cmex_1y,0,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last 20 years,200524,cmex_20y,0.481481481481481,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmex,Last 2 years,202324,cmex_2y,0,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last 10 years,200921,cmfi_10y,0.500587503910256,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last 10 years,201424,cmfi_10y,0.808438156841642,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last _summer,202021,cmfi_1y,0.779541432089136,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last _summer,202324,cmfi_1y,0.801637934737689,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last 20 years,200424,cmfi_20y,0.557399021682377,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfi,Last 2 years,202224,cmfi_2y,0.849271687726741,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last 10 years,200920,cmfr_10y,0.68696893185,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last 10 years,201423,cmfr_10y,0.68234176515089,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last _summer,202020,cmfr_1y,0.709922937,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last _summer,202323,cmfr_1y,0.635619922992209,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last 20 years,200423,cmfr_20y,0.685687464546547,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,cmfr,Last 2 years,202223,cmfr_2y,0.645738799209131,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last 10 years,200921,quad_10y,2,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last 10 years,201424,quad_10y,1,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last _summer,202021,quad_1y,1,FALSE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last _summer,202324,quad_1y,1,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last 20 years,200424,quad_20y,1,TRUE
Swinger,15-030,Swinger Reef (15-030),Cooktown / Lizard Island,CL,Northern GBR,15,quad,Last 2 years,202224,quad_2y,1,TRUE
