scheme,tail_features,learner,programme_key,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
reef_blocked_5fold,wqc_threshold_track_disease_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.10566042134538174,0.12423638957829469,0.07720209921709421,0.44562052968344346,0.016940202557074048,0.61388975696167,0.42530812868577267,0.2832809796916927,0.0449438202247191
reef_blocked_5fold,wqc_threshold_track_tail,Conservative tail (0.5 gate),ltmp,199,12,0.0887202187883077,0.0952095827173967,0.12058571037987298,0.07442556015052526,0.4777226549694382,0.006489363929089,0.61388975696167,0.3878848564288084,0.3051914100435983,0.028089887640449437
reef_blocked_5fold,wqc_threshold_track_tail,Soft-gated tail,ltmp,199,12,0.0887202187883077,0.10550548802397208,0.12369955981905416,0.07688174261431226,0.450401164610607,0.016785269235664386,0.61388975696167,0.4277760326122604,0.28201116448257557,0.03932584269662921
reef_blocked_5fold,legacy_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.10201483508651775,0.11649724606607334,0.08022902434487807,0.4285882071865943,-9.692975608425057e-4,0.570184371369407,0.40811820099818213,0.23523106230510388,0.028169014084507043
reef_blocked_5fold,legacy_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.11071205272987343,0.11899768640978331,0.08349412054894123,0.40379595706231386,0.007727920082513174,0.570184371369407,0.42518630920784856,0.21913698212542004,0.03286384976525822
reef_blocked_5fold,none,INLA only,manta,248,7,0.10298413264736025,0.09331761744316207,0.1168755327364046,0.07882085535604504,0.4248712366640266,-0.009666515204198185,0.570184371369407,0.39105009278851566,0.25583442579461385,0.018779342723004695
reef_blocked_5fold,wqc_threshold_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.10263058401553567,0.11671964635331392,0.08050215286156583,0.42640440533888957,-3.535486318245879e-4,0.570184371369407,0.4106913386454698,0.23273495454804344,0.023474178403755867
reef_blocked_5fold,wqc_threshold_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.11194355058790927,0.11987702046673389,0.08413026474525832,0.39495209536875375,0.008959417940549011,0.570184371369407,0.430332584502424,0.214648073212261,0.04225352112676056
reef_blocked_5fold,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.10284137640000485,0.1171119493040035,0.08072929447620279,0.4225421351758907,-1.4275624735540681e-4,0.570184371369407,0.4088711194512039,0.23486065902443576,0.028169014084507043
reef_blocked_5fold,wqc_threshold_track_disease_tail,Soft-gated tail,manta,248,7,0.10298413264736025,0.11236513535684763,0.12053591054249292,0.08455877650079696,0.3882826661078582,0.009381002709487371,0.570184371369407,0.4266921461138921,0.2188047672460791,0.046948356807511735
reef_blocked_5fold,wqc_threshold_track_tail,Conservative tail (0.5 gate),manta,248,7,0.10298413264736025,0.10257244469080644,0.11712151312527774,0.08075783421605442,0.4224478163749785,-4.1168795655381347e-4,0.570184371369407,0.4096969139457775,0.2332611956406239,0.023474178403755867
