learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_mae_pp,programme_key
Persistence,reef_blocked_5fold,867,6.713856811153541,4.16186360040685,6.71385681115354,4.16186360040685,0.06884399753551979,-1.0515590797677277e-4,0,18.728508327744546,ltmp
Persistence,reef_blocked_5fold,1416,7.6933111187861165,5.500668549607117,7.6933111187861165,5.500668549607117,-0.06312622282288671,-6.73321151436479e-5,0,16.399431707878747,manta
Persistence,reef_blocked_5fold,806,8.322656717498994,4.888513636242813,8.322656717498994,4.888513636242813,-1.0574834186072957,-0.016409366987151897,0.0024813895781637717,21.497850063345947,mmp
Post-cover BRT,forward_2024_2025,80,12.217883100127379,8.780672596680738,12.217883100127379,8.780672596680738,1.740483048905744,-0.8194547937019123,0.5125,24.414310157636994,ltmp
Post-cover BRT,forward_2024_2025,139,13.38505430350806,10.367161466759626,13.38505430350806,10.367161466759626,-0.09415172335121078,-0.4851617870950915,0.539568345323741,16.359904906843948,manta
Post-cover BRT,forward_2024_2025,120,10.495063760182179,6.501948461456288,10.495063760182179,6.501948461456287,-4.286702985530162,-0.021748027616095733,0.5416666666666666,20.268969713479947,mmp
Post-cover BRT,recent_year_holdout,304,8.137913646099355,5.37190843879092,8.137913646099355,5.37190843879092,0.7535585171035776,-0.27915925209764114,0.5986842105263158,16.607126383876007,ltmp
Post-cover BRT,recent_year_holdout,443,10.737628065452173,8.11669634268663,10.737628065452173,8.11669634268663,1.9081476644285675,-0.23248117475312413,0.5530474040632054,15.990581320345061,manta
Post-cover BRT,recent_year_holdout,468,8.679079413847479,5.24887405112621,8.679079413847479,5.24887405112621,0.06429986353769293,-0.05387974140945828,0.5299145299145299,19.468216618770583,mmp
Post-cover BRT,reef_blocked_5fold,867,5.846876564863026,4.018421245955549,5.846876564863026,4.018421245955549,0.3786705023176725,0.24151085863370347,0.5974625144175317,13.406301244808336,ltmp
Post-cover BRT,reef_blocked_5fold,1416,7.157122092945394,5.225179276912043,7.157122092945395,5.225179276912043,-0.07009521257317906,0.1344752299154286,0.6165254237288136,12.458602764606127,manta
Post-cover BRT,reef_blocked_5fold,806,7.772232435977632,5.066647591551275,7.772232435977631,5.066647591551275,0.25738453210501044,0.11358671689561661,0.5694789081885856,15.881890159142591,mmp
