learner,predicted_post_cover,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
Growth/environment LM,0.5511242657124661,2973,mmp,22-009,Barren Island Reef (22-009),2024,2024-05-12,0.5916565683895456,0.2598804032895316,-33.1776165100014,11.06,0.8432966093606045,1,0,NA,b,bleaching still evident at time of surveys  coral bleaching,-4.053230267707953,-0.2912438624229345,-29.124386242293447,forward_2024_2025,2024_2025,29.124386242293447
Growth/environment LM,0.46663895939086447,2997,mmp,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2024-05-12,0.4840089198869416,0.17797019321167112,-30.60387266752705,12.3,0.9831720862579035,0.874654366947519,0,NA,b,bleaching still evident at time of surveys  coral bleaching,-1.7369960496077141,-0.28866876617919335,-28.866876617919335,forward_2024_2025,2024_2025,28.866876617919335
Growth/environment LM,0.5772617353219422,2237,manta,23-055a,One Tree Island Reef (23-055a),2024,2024-11-06,0.6064749895445039,0.2967154689292574,-30.975952061524648,11.6123762376238,0.9167527148244318,0.0455607442369428,0,0.0397,m,"Aerial bl 4 2024  DHW 11.81  coral bleaching, coral disease, crown-of-thorns starfish, unknown storm",-2.92132542225616,-0.2805462663926849,-28.054626639268488,forward_2024_2025,2024_2025,28.054626639268488
Growth/environment LM,0.12607398066874903,1946,manta,20-104,U/N Reef (20-104),2024,2024-05-11,0.16222060434747407,0.3954607791259235,23.32401747784494,5.56,0.20685377657459916,0,26,0.0038,NA,  ,-3.6146623678725036,0.26938679845717445,26.938679845717445,forward_2024_2025,2024_2025,26.938679845717445
Growth/environment LM,0.39865046233643553,2219,manta,23-051,Wreck Island Reef (23-051),2025,2025-11-05,0.3644854086567966,0.14453096784872366,-21.995444080807292,1.052,0.9301569199434488,0.0940861978177227,0,0,s, Alfred Cyclone Alfred,3.4165053679638957,-0.25411949448771187,-25.41194944877119,forward_2024_2025,2024_2025,25.41194944877119
Growth/environment LM,0.47745097106117057,3042,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2024-05-12,0.4968734974323577,0.22997353185720512,-26.68999655751526,12.47,0.8806702661451502,0.742819670261997,0,0,b,bleaching still evident at time of surveys  coral bleaching,-1.9422526371187132,-0.24747743920396545,-24.747743920396548,forward_2024_2025,2024_2025,24.747743920396548
Growth/environment LM,0.2717683304103187,2698,mmp,18-050,Lady Elliot Reef (18-050),2025,2025-05-17,0.25992233538362813,0.025973808208153,-23.39485271754751,4.95,0.494015375449396,0.0940861978177227,0,NA,f,  flood waters,1.1845995026690592,-0.24579452220216572,-24.57945222021657,forward_2024_2025,2024_2025,24.57945222021657
Growth/environment LM,0.5884003244414452,2011,manta,21-187,U/N Reef (21-187),2024,2025-01-10,0.6246600212356924,0.3486641253272356,-27.59958959084568,7.18220338983051,0.3136770924524844,0,0,0,NA,  ,-3.625969679424723,-0.23973619911420957,-23.973619911420958,forward_2024_2025,2024_2025,23.973619911420958
Growth/environment LM,0.40408215357963545,1332,manta,16-015,Mackay Reef (16-015),2024,2024-10-05,0.4251201626271228,0.1647169175994882,-26.04032450276346,3.76809523809524,0.11108575555250783,0.0670124787248476,0,4e-4,m,"DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",-2.103800904748737,-0.23936523598014725,-23.936523598014723,forward_2024_2025,2024_2025,23.936523598014723
Growth/environment LM,0.3609688905057875,2584,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.36033387700433595,0.12946397035252072,-23.086990665181524,3.74571428571429,0.50600337840787,0.0940861978177227,0,0.0038,f,  flood waters at 2.0 m only,0.06350135014515645,-0.2315049201532668,-23.15049201532668,forward_2024_2025,2024_2025,23.15049201532668
