scheme,event_year,programme_key,tail_features,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,2022,ltmp,legacy_tail,Soft-gated tail,36,0,0.01585845519859899,0.03857767367580505,0.06894587772906514,0.043002236109459184,-2.2093897067874293,0.02271921847720606,,,,0
leave_one_event_out,2022,ltmp,none,INLA only,36,0,0.01585845519859899,0.0354970040752108,0.0676485039267657,0.0407926545962681,-2.0897421578431095,0.019638548876611813,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),36,0,0.01585845519859899,0.036894959896394866,0.06821003815695184,0.04168873748033797,-2.1412494870105543,0.02103650469779588,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_tail,Soft-gated tail,36,0,0.01585845519859899,0.03829291571757893,0.06882292901916456,0.042600968395263276,-2.197953533730538,0.022434460518979946,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),36,0,0.01585845519859899,0.03801415132313745,0.07006590720165874,0.04281178248361051,-2.314510085394663,0.022155696124538462,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_track_disease_tail,Soft-gated tail,36,0,0.01585845519859899,0.0405312985710641,0.07276950909004971,0.04498880704275189,-2.5752361753633113,0.024672843372465114,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),36,0,0.01585845519859899,0.038497146457637146,0.07011625594327742,0.04321395229096583,-2.3192753522213754,0.02263869125903816,,,,0
leave_one_event_out,2022,ltmp,wqc_threshold_track_tail,Soft-gated tail,36,0,0.01585845519859899,0.0414972888400635,0.07291648663726469,0.04578966528254926,-2.5896930577500816,0.02563883364146451,,,,0
leave_one_event_out,2022,manta,legacy_tail,Conservative tail (0.5 gate),53,0,0.03579084242297705,0.0503669880153559,0.11272602949586874,0.07587180083661935,-0.9447484012215548,0.014576145592378843,,,,0
leave_one_event_out,2022,manta,legacy_tail,Soft-gated tail,53,0,0.03579084242297705,0.05188788045344958,0.11293762580559646,0.07673060873949632,-0.9520561685324804,0.01609703803047253,,,,0
leave_one_event_out,2022,manta,none,INLA only,53,0,0.03579084242297705,0.04884609557726221,0.11254432624677871,0.07501299293374238,-0.9384839686273663,0.01305525315428516,,,,0
leave_one_event_out,2022,manta,wqc_threshold_tail,Conservative tail (0.5 gate),53,0,0.03579084242297705,0.05011854695268457,0.1126864439109109,0.0757097863590242,-0.9433827807644541,0.014327704529707518,,,,0
leave_one_event_out,2022,manta,wqc_threshold_tail,Soft-gated tail,53,0,0.03579084242297705,0.051390998328106924,0.11284973153018293,0.07640657978430603,-0.9490189557897282,0.015600155905129873,,,,0
leave_one_event_out,2022,manta,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),53,0,0.03579084242297705,0.051043285173743534,0.11379231455156034,0.07649692311632361,-0.9817134857044862,0.015252442750766482,,,,0
leave_one_event_out,2022,manta,wqc_threshold_track_disease_tail,Soft-gated tail,53,0,0.03579084242297705,0.05324047477022485,0.11513379147179162,0.07810075359565812,-1.0287130172002619,0.017449632347247803,,,,0
leave_one_event_out,2022,manta,wqc_threshold_track_tail,Conservative tail (0.5 gate),53,0,0.03579084242297705,0.05148347404121184,0.11395307881113598,0.07686117381869122,-0.987316917735974,0.015692631618234792,,,,0
leave_one_event_out,2022,manta,wqc_threshold_track_tail,Soft-gated tail,53,0,0.03579084242297705,0.05412085250516147,0.11551086960280306,0.07905954777901203,-1.0420233757488115,0.01833001008218442,,,,0
leave_one_event_out,2022,mmp,legacy_tail,Conservative tail (0.5 gate),4,0,0,0.027079998251920513,0.0275004018074285,0.027079998251920513,-Inf,0.027079998251920513,,,,0
leave_one_event_out,2022,mmp,legacy_tail,Soft-gated tail,4,0,0,0.032956152061128154,0.03371197285845297,0.032956152061128154,-Inf,0.032956152061128154,,,,0
leave_one_event_out,2022,mmp,none,INLA only,4,0,0,0.021203844442712873,0.021505817188534195,0.021203844442712873,-Inf,0.021203844442712873,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_tail,Conservative tail (0.5 gate),4,0,0,0.03198415051966152,0.0326961500666513,0.03198415051966152,-Inf,0.03198415051966152,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_tail,Soft-gated tail,4,0,0,0.04276445659661016,0.044619393028906926,0.04276445659661016,-Inf,0.04276445659661016,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),4,0,0,0.026457926731779432,0.026678178579234303,0.026457926731779432,-Inf,0.026457926731779432,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_track_disease_tail,Soft-gated tail,4,0,0,0.03171200902084599,0.031925358968613704,0.03171200902084599,-Inf,0.03171200902084599,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),4,0,0,0.024683560472543768,0.024906536328989305,0.024683560472543768,-Inf,0.024683560472543768,,,,0
leave_one_event_out,2022,mmp,wqc_threshold_track_tail,Soft-gated tail,4,0,0,0.02816327650237466,0.02834163987524377,0.02816327650237466,-Inf,0.02816327650237466,,,,0
leave_one_event_out,2024,ltmp,legacy_tail,Conservative tail (0.5 gate),75,4,0.11262580066603782,0.21239153996182686,0.21920839059193623,0.16562260528355663,-0.9737705420088711,0.09976573929578904,0.6202929079050374,0.7546798036638891,0.16735864525365818,0.20588235294117646
leave_one_event_out,2024,ltmp,legacy_tail,Soft-gated tail,75,4,0.11262580066603782,0.21498933309825838,0.21938432462795773,0.166807941330277,-0.9769400627322389,0.10236353243222056,0.6202929079050374,0.7546798036638891,0.16735864525365818,0.20588235294117646
leave_one_event_out,2024,ltmp,none,INLA only,75,4,0.11262580066603782,0.20979374682539534,0.21966067532844705,0.16706926475857772,-0.9819237630730551,0.09716794615935752,0.6202929079050374,0.7546798036638891,0.16735864525365818,0.20588235294117646
leave_one_event_out,2024,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),75,4,0.11262580066603782,0.21265987655110108,0.2189363210984661,0.16524877506845567,-0.9688741098888751,0.10003407588506324,0.6202929079050374,0.7546798036638891,0.16735864525365818,0.20588235294117646
leave_one_event_out,2024,ltmp,wqc_threshold_tail,Soft-gated tail,75,4,0.11262580066603782,0.21552600627680682,0.21878099553121946,0.16589345942630432,-0.9660814439224958,0.10290020561076899,0.6202929079050374,0.7546798036638891,0.16735864525365818,0.20588235294117646
