tail_features,component,predictor,relative_influence
wqc_threshold_track_disease_tail,magnitude,chla_wetseason_median_z,7.422305871330281
wqc_threshold_track_disease_tail,magnitude,log1p_cot_idwmeanpertow_z,6.07063490339501
wqc_threshold_track_disease_tail,magnitude,mcur_90_z,5.674269072725841
wqc_threshold_track_disease_tail,magnitude,dhw_novelty10_z,5.065021436657876
wqc_threshold_track_disease_tail,magnitude,sst_summer_excess_kurtosis_z,4.99355863968968
wqc_threshold_track_disease_tail,magnitude,sst_summer_skewness_z,4.5903813693673765
wqc_threshold_track_disease_tail,magnitude,observed_pre_cover_z,4.195161529883461
wqc_threshold_track_disease_tail,magnitude,log_coastal_rain30_z,4.18962254659965
wqc_threshold_track_disease_tail,magnitude,secc3m_p10_z,3.9148025996152516
wqc_threshold_track_disease_tail,magnitude,dhw_x_tc_track,3.495505936014965
wqc_threshold_track_disease_tail,magnitude,cots_outbreak_probability_z,3.420470754895854
wqc_threshold_track_disease_tail,magnitude,tc_proximity100_z,3.3063392438328045
wqc_threshold_track_disease_tail,magnitude,dhw_x_freshwater,3.064242262507791
wqc_threshold_track_disease_tail,magnitude,wqc_prior10_percentile_z,3.017382168632765
wqc_threshold_track_disease_tail,magnitude,cloudp_90_z,2.8301382988106334
wqc_threshold_track_disease_tail,magnitude,dhw_x_cloud,2.7440124439981575
wqc_threshold_track_disease_tail,magnitude,dhw_x_novelty,2.6479728762082577
wqc_threshold_track_disease_tail,magnitude,wqc_freqcc12_z,2.646554699500419
wqc_threshold_track_disease_tail,magnitude,programme_factor,2.272209177557622
wqc_threshold_track_disease_tail,magnitude,dhw_x_current,1.9234468356881398
wqc_threshold_track_disease_tail,magnitude,dhw_x_wqc_excess50,1.6123261158694482
wqc_threshold_track_disease_tail,magnitude,prop_acropora_pre_z,1.5651980257244131
wqc_threshold_track_disease_tail,magnitude,dhw_x_disease,1.5526683819441367
wqc_threshold_track_disease_tail,magnitude,dhw10_load4_z,1.4876139657758947
wqc_threshold_track_disease_tail,magnitude,region_factor,1.3223123355936048
wqc_threshold_track_disease_tail,magnitude,tc_wind_distance_index_z,1.2873948971495432
wqc_threshold_track_disease_tail,magnitude,dhw_x_wqc_cumulative,1.1975059402552148
wqc_threshold_track_disease_tail,magnitude,ann_maxdhw_z,0.8371619084197449
wqc_threshold_track_disease_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.6705466927427401
wqc_threshold_track_disease_tail,magnitude,acropora_cover_pre_z,0.39961529410622965
wqc_threshold_track_disease_tail,magnitude,wqc_excess50_10yr_sum_z,0.13684516495795634
wqc_threshold_track_disease_tail,magnitude,wqc_excess50_z,0.1189353968618495
wqc_threshold_track_disease_tail,magnitude,dhw_events_since2016_n6_z,0.06064916555089188
wqc_threshold_track_disease_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.0494545383754455
wqc_threshold_track_disease_tail,magnitude,dhw_excess4_z,0
wqc_threshold_track_disease_tail,magnitude,dhw_excess8_z,0
wqc_threshold_track_disease_tail,magnitude,disease_risk_max_z,0
wqc_threshold_track_disease_tail,magnitude,disease_risk_days_ge1_z,0
