ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
14-016,14-016,2024,7.49,10,35.245000000000005,3.5245,9.875,5,2,0,0.7584810126582279
14-045,14-045,2024,7.16,10,44.915,4.4915,11.8225,5,4,0,0.605624867836752
14-114,14-114,2024,5.93,10,36.415,3.6415,9.06,5,3,0,0.6545253863134657
14-116a,14-116,2024,6.2700000000000005,10,35.82666666675,3.5826666666749998,8.783333333249999,4,2,0,0.7138519924166401
14-118,14-118,2024,6.2700000000000005,10,36,3.6,9.4,5,2,0,0.6670212765957447
14-123,14-123,2024,6.4,10,36.755,3.6755,9.6975,5,2,0,0.659963908223769
14-126,14-126,2024,6.73,10,37.03,3.7030000000000003,9.81,5,2,0,0.6860346585117227
14-137,14-137,2024,8.21,10,42.04,4.204,11.32,5,3,0,0.7252650176678446
14-138,14-138,2024,8.08,10,41.32,4.132,11.36,4,3,0,0.7112676056338029
14-139,14-139,2024,7.61,10,42.230000000000004,4.223,11.455,4,3,0,0.6643387167175906
14-147a,14-147,2024,6.4,10,35.33,3.533,8.93,4,2,0,0.7166853303471445
15-030,15-030,2024,3.87,10,21.069999999,2.1069999998999998,7.113333333,2,1,0,0.5440487347958786
15-099c,15-099,2024,6.97,10,27.533333333333335,2.7533333333333334,8.006666666666668,4,2,0,0.8705245628642796
16-015,16-015,2024,3.52,10,21.8275,2.18275,9.21,2,1,0,0.3821932681867535
16-019,16-019,2024,5.87,10,28.28,2.828,8.49,4,2,0,0.6914016489988222
16-028,16-028,2024,6.42,10,27.419999999999998,2.742,11.54,3,1,0,0.5563258232235703
16-057,16-057,2024,7.62,10,31.843333331,3.1843333331,10.37333333,4,2,0,0.7345758357116247
16-068,16-068,2024,7.34,10,30.786666667,3.0786666666999998,10.95,3,2,0,0.6703196347031963
17-024,17-024,2024,5.4,10,26.09,2.609,9.52,3,1,0,0.5672268907563026
17-034,17-034,2024,5.54,10,25.740000000000002,2.574,8.91,3,1,0,0.621773288439955
