learner,scheme,event_year,transitions,observed_change_pp,severe_loss_n,severe_loss_observed_pp,severe_loss_predicted_pp,predicted_change_pp,predicted_gain_pp,predicted_loss_pp,rmse_pp
Modifier-rich decomposed BRT,reef_blocked_5fold,1991,20,2.4189934679376273,1,-25.79940523323482,5.011790844890007,0.013040709898909406,2.6189751488757307,2.6059344389768215,9.858330670286767
Modifier-rich decomposed BRT,reef_blocked_5fold,1992,8,-3.9953107796107177,3,-13.915335729463292,-7.734768870072366,-2.9753857992167094,1.9962667283856605,4.971652527602372,6.033319654915423
Modifier-rich decomposed BRT,reef_blocked_5fold,1993,24,-1.4080244717878514,0,NA,NA,0.5869154527193015,2.1285543472384605,1.5416388945191577,4.209013902265619
Modifier-rich decomposed BRT,reef_blocked_5fold,1994,58,1.8991926914838082,1,-13.267636342843792,-0.8857538125485453,0.9504273714793163,2.561218742727286,1.6107913712479698,5.594370107379162
Modifier-rich decomposed BRT,reef_blocked_5fold,1995,95,2.1249234628110885,0,NA,NA,0.7195037517964152,2.355889740624449,1.6363859888280337,4.864862491724287
Modifier-rich decomposed BRT,reef_blocked_5fold,1996,84,-0.6610467864031385,5,-19.806488323565976,-5.884536302657726,0.24216594387396398,2.2448743501452375,2.002708406271273,5.90640352073359
Modifier-rich decomposed BRT,reef_blocked_5fold,1997,95,0.013599714152596266,8,-15.430514423065443,-2.9992930680649983,-0.06285664334152176,2.0044778096541114,2.067334452995633,6.315418168237138
Modifier-rich decomposed BRT,reef_blocked_5fold,1998,105,1.496506811886049,5,-13.01786535504403,-2.369535519460882,0.03500001847942589,2.2260288596425966,2.191028841163171,6.1590678167415716
Modifier-rich decomposed BRT,reef_blocked_5fold,1999,92,-0.6456330411314184,6,-15.19168879826945,-2.199430036946409,-0.597816238805075,1.944189447153111,2.542005685958186,5.614765377369741
Modifier-rich decomposed BRT,reef_blocked_5fold,2000,85,-1.2502058796141375,5,-10.603614745751322,-1.8587908158922366,-0.5519599248898363,1.8136830048812442,2.365642929771081,4.387481916278593
Modifier-rich decomposed BRT,reef_blocked_5fold,2001,87,-0.6910350017625203,6,-15.135487448472205,-2.2532592334769523,-0.14167174568760663,1.9263151479727,2.0679868936603065,5.596668600346351
Modifier-rich decomposed BRT,reef_blocked_5fold,2002,103,-1.706589478787448,4,-11.548235910062782,-0.3961355267156511,-0.27821365794502456,1.9677125204458006,2.245926178390825,5.207799022448719
Modifier-rich decomposed BRT,reef_blocked_5fold,2003,95,-0.5517664067297324,2,-12.953384379844707,-2.1240628528634646,0.5758393730207373,1.961233913710021,1.3853945406892834,4.24561377771126
Modifier-rich decomposed BRT,reef_blocked_5fold,2004,87,0.6235092126425372,4,-13.821501239484842,-0.4505931309509492,1.1627174190465666,2.502428057397999,1.3397106383514321,4.981431391295083
Modifier-rich decomposed BRT,reef_blocked_5fold,2005,51,-0.1687523799193932,1,-12.898016959730937,0.4562786070959613,0.7486968347421898,2.1869295072146553,1.4382326724724654,4.2399378132509415
Modifier-rich decomposed BRT,reef_blocked_5fold,2006,99,-1.1996662094802113,10,-24.009306006270776,-5.575506983643254,-0.7119206245264003,1.9925829423060146,2.704503566832415,8.429512718120757
Modifier-rich decomposed BRT,reef_blocked_5fold,2007,70,-0.36380069733114134,5,-13.06248437261103,-3.3365913585659657,0.6218680990328213,2.3108348946274826,1.6889667955946617,5.126529388131015
Modifier-rich decomposed BRT,reef_blocked_5fold,2008,61,0.29764461198947656,3,-39.373474571205975,-2.645910882603549,0.8842919059288824,2.3331682693344913,1.4488763634056088,10.29341682672886
Modifier-rich decomposed BRT,reef_blocked_5fold,2009,73,-0.13608703275011916,3,-18.794851531296047,-1.657702376958594,-0.07586235536684476,2.1290193275133684,2.204881682880213,5.9512089466733995
Modifier-rich decomposed BRT,reef_blocked_5fold,2010,63,-1.9178114402032216,5,-14.220780189626593,-1.5358186917096832,0.008571321676303565,2.3041682840812348,2.2955969624049315,6.077536680233061
Modifier-rich decomposed BRT,reef_blocked_5fold,2011,54,-6.464348921368537,14,-19.851339006797673,-3.8945941686330974,-1.2143688897804477,1.8084373463710937,3.022806236151541,10.009023003784415
Modifier-rich decomposed BRT,reef_blocked_5fold,2012,53,0.6640126323120159,1,-11.767382212643446,-2.4451293961488707,0.7372399807978512,1.9092040943033681,1.1719641135055168,4.586413129771008
Modifier-rich decomposed BRT,reef_blocked_5fold,2013,51,-0.16839799927860727,4,-21.50484457810506,-5.401190844563905,0.131125354867907,1.8178988823278535,1.6867735274599462,6.537771788567497
Modifier-rich decomposed BRT,reef_blocked_5fold,2014,50,1.3457621044484123,2,-14.390654779382427,-0.15142089523998703,-0.16119973290619427,1.635915672147728,1.7971154050539218,5.574105876809291
Modifier-rich decomposed BRT,reef_blocked_5fold,2015,40,3.1536777570138095,0,NA,NA,-0.5187604015029496,1.7714824817295214,2.2902428832324704,6.955617459015643
Modifier-rich decomposed BRT,reef_blocked_5fold,2016,55,0.5032428775061415,4,-14.735643888216181,-2.8798532510016,-0.20838468434156157,1.7070109791420087,1.9153956634835705,5.806550088282928
Modifier-rich decomposed BRT,reef_blocked_5fold,2017,63,-7.776669411236795,18,-23.07702892591975,-13.470334931379469,-6.717864427791297,0.5818402750919066,7.299704702883204,8.380716931666994
Modifier-rich decomposed BRT,reef_blocked_5fold,2018,56,0.7796736658218489,1,-11.507170615456582,-4.952151618638101,0.008399239299795762,1.6771692552084443,1.6687700159086487,4.0393216442016735
Modifier-rich decomposed BRT,reef_blocked_5fold,2019,87,1.751558821478579,3,-16.876997099648346,-2.5061968425407404,0.35880541642967206,2.262977955908236,1.9041725394785638,6.1512994096589235
Modifier-rich decomposed BRT,reef_blocked_5fold,2020,98,4.265822596673907,1,-29.293304741487443,3.778993974229594,1.0248387770036251,2.5682998981936436,1.5434611211900184,8.50536200806163
Modifier-rich decomposed BRT,reef_blocked_5fold,2021,172,2.639571012729044,8,-15.957781994397392,0.6518725666035351,0.6850144197616721,2.444160460267161,1.7591460405054886,7.198647781900337
Modifier-rich decomposed BRT,reef_blocked_5fold,2022,184,0.630152478005479,10,-15.224099792975354,-2.579891427942425,0.8104699661982832,2.4736127349348913,1.663142768736608,5.3395032037972605
Modifier-rich decomposed BRT,reef_blocked_5fold,2023,161,1.9008294648574016,6,-13.057308115996177,-0.7006719840108983,0.7320946995487506,2.5283169872580733,1.796222287709323,6.236741871762337
Modifier-rich decomposed BRT,reef_blocked_5fold,2024,234,-5.892317748720672,53,-21.578786471466284,-9.33372978383782,-3.9678477625847437,1.247507857317504,5.215355619902248,9.112318922788097
Modifier-rich decomposed BRT,reef_blocked_5fold,2025,105,-0.046068076599038714,10,-17.90738312333458,0.5219099143582693,0.3486505737293873,2.7134871434723467,2.3648365697429594,7.69176201749598
Mortality-augmented decomposed BRT,forward_2024_2025,2024,234,-5.892317748720672,53,-21.578786471466284,-3.8265659632217637,-1.7280852717622208,1.983594473303367,3.7116797450655876,12.342255040073727
Mortality-augmented decomposed BRT,forward_2024_2025,2025,105,-0.046068076599038714,10,-17.90738312333458,0.48417143744108354,0.18463471963599817,2.930599409414794,2.7459646897787957,8.174870122807034
Mortality-augmented decomposed BRT,recent_year_holdout,2016,55,0.5032428775061415,4,-14.735643888216181,-1.422244453440767,0.418471778554655,1.6271312713283486,1.2086594927736933,6.01518281366241
