learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_n,severe_loss_mae_pp,severe_loss_bias_pp,programme_key
Mortality-augmented decomposed BRT,forward_2024_2025,139,12.05746424842059,9.08964565738006,12.057464248420592,9.08964565738006,1.4895150325074467,-0.2051620769356648,0.6187050359712231,36,16.485714249181,14.356629958924712,manta
Mortality-augmented decomposed BRT,forward_2024_2025,120,11.813249621637826,7.0460820431847235,11.813249621637826,7.0460820431847235,5.531988234015689,-0.2945308579347432,0.43333333333333335,21,23.186194281776807,23.186194281776807,mmp
Mortality-augmented decomposed BRT,recent_year_holdout,304,6.449057029594909,4.3053851781867545,6.449057029594909,4.3053851781867545,0.40614702839274064,0.1966757132364365,0.6282894736842105,20,16.210876112661033,15.856157019433569,ltmp
Mortality-augmented decomposed BRT,recent_year_holdout,443,9.555967955821774,7.209417455733044,9.555967955821774,7.209417455733044,-1.2465437149831042,0.023858109236767233,0.5778781038374717,55,15.291213768750122,14.405063453416739,manta
Mortality-augmented decomposed BRT,recent_year_holdout,468,8.773648372234293,5.2744645628695235,8.773648372234293,5.2744645628695235,0.22198202301619654,-0.07697142788967226,0.5598290598290598,39,20.525290113328865,18.48386393986431,mmp
Mortality-augmented decomposed BRT,reef_blocked_5fold,867,5.968856460077603,3.8651434997622727,5.968856460077603,3.8651434997622727,-0.11891365042538889,0.20953292164300563,0.6343713956170703,48,14.815098757077205,14.815098757077205,ltmp
Mortality-augmented decomposed BRT,reef_blocked_5fold,1416,6.973165909029786,5.071797874703391,6.973165909029787,5.071797874703392,0.13059797080429605,0.178395808735485,0.6228813559322034,116,12.56888721662477,12.20858991382967,manta
Mortality-augmented decomposed BRT,reef_blocked_5fold,806,7.272522850440785,4.640405815233555,7.272522850440786,4.640405815233556,-0.06586235854134828,0.22390500234876687,0.6042183622828784,70,15.170841664843515,14.270994399817758,mmp
Persistence,forward_2024_2025,80,9.648053063720043,4.993138235358299,9.648053063720043,4.993138235358299,3.322680143050729,-0.13456323229254874,0,6,29.89978179431085,29.89978179431085,ltmp
Persistence,forward_2024_2025,139,11.698279107792429,8.595764601989945,11.69827910779243,8.595764601989943,4.0269875186848445,-0.13442933756772413,0,36,18.654215556805433,18.654215556805433,manta
Persistence,forward_2024_2025,120,11.376735329260157,6.583266067033823,11.376735329260157,6.583266067033824,4.650615205852372,-0.20062934707593305,0.016666666666666666,21,22.466622067152286,22.466622067152286,mmp
Persistence,recent_year_holdout,304,7.208781802402024,4.422895284065044,7.208781802402023,4.422895284065044,0.44016911056940156,-0.0037422912694602406,0,20,20.299160215112305,20.299160215112305,ltmp
Persistence,recent_year_holdout,443,9.680740861760595,7.220688549870447,9.680740861760595,7.220688549870447,-0.41028262479640715,-0.001799408765688959,0,55,17.750421495880722,17.750421495880722,manta
Persistence,recent_year_holdout,468,8.498212679172422,4.755807940342458,8.498212679172422,4.755807940342458,0.8627122603572197,-0.010412995287711446,0.004273504273504274,39,22.16668700260492,22.16668700260492,mmp
Persistence,reef_blocked_5fold,867,6.713856811153541,4.16186360040685,6.71385681115354,4.16186360040685,-0.06884399753551977,-1.0515590797677277e-4,0,48,18.728508327744546,18.728508327744546,ltmp
Persistence,reef_blocked_5fold,1416,7.6933111187861165,5.500668549607117,7.6933111187861165,5.500668549607117,0.06312622282288674,-6.73321151436479e-5,0,116,16.399431707878747,16.399431707878747,manta
Persistence,reef_blocked_5fold,806,8.322656717498992,4.888513636242813,8.322656717498994,4.888513636242813,1.0574834186072957,-0.01640936698715212,0.0024813895781637717,70,21.497850063345947,21.497850063345947,mmp
Post-cover BRT,forward_2024_2025,80,12.217883100127379,8.780672596680738,12.217883100127379,8.780672596680738,-1.7404830489057437,-0.8194547937019123,0.5125,6,24.414310157636994,17.984582950968637,ltmp
Post-cover BRT,forward_2024_2025,139,13.38505430350806,10.367161466759626,13.38505430350806,10.367161466759626,0.09415172335121069,-0.4851617870950915,0.539568345323741,36,16.359904906843948,13.420727974643333,manta
Post-cover BRT,forward_2024_2025,120,10.495063760182179,6.501948461456286,10.495063760182179,6.501948461456287,4.286702985530162,-0.021748027616095733,0.5416666666666666,21,20.268969713479947,20.268969713479947,mmp
Post-cover BRT,recent_year_holdout,304,8.137913646099355,5.37190843879092,8.137913646099355,5.37190843879092,-0.7535585171035776,-0.2791592520976409,0.5986842105263158,20,16.607126383876007,14.847000755895577,ltmp
Post-cover BRT,recent_year_holdout,443,10.737628065452173,8.11669634268663,10.737628065452173,8.11669634268663,-1.9081476644285675,-0.23248117475312413,0.5530474040632054,55,15.990581320345061,14.257063357023636,manta
Post-cover BRT,recent_year_holdout,468,8.679079413847479,5.248874051126209,8.679079413847479,5.248874051126209,-0.06429986353769292,-0.05387974140945828,0.5299145299145299,39,19.468216618770583,18.92176969280033,mmp
Post-cover BRT,reef_blocked_5fold,867,5.846876564863026,4.018421245955548,5.846876564863026,4.018421245955549,-0.37867050231767246,0.24151085863370347,0.5974625144175317,48,13.406301244808336,13.357094086566216,ltmp
Post-cover BRT,reef_blocked_5fold,1416,7.157122092945394,5.225179276912043,7.157122092945395,5.225179276912043,0.07009521257317908,0.1344752299154286,0.6165254237288136,116,12.458602764606127,12.00135470469372,manta
Post-cover BRT,reef_blocked_5fold,806,7.772232435977632,5.066647591551275,7.772232435977631,5.066647591551275,-0.2573845321050104,0.11358671689561661,0.5694789081885856,70,15.881890159142591,15.022292609562975,mmp
