scheme,fold,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp_Core_decomposed_BRT,predicted_change_pp_Modifier_rich_decomposed_BRT,predicted_change_pp_Mortality_augmented_decomposed_BRT,expected_gain_pp_Core_decomposed_BRT,expected_gain_pp_Modifier_rich_decomposed_BRT,expected_gain_pp_Mortality_augmented_decomposed_BRT,expected_loss_pp_Core_decomposed_BRT,expected_loss_pp_Modifier_rich_decomposed_BRT,expected_loss_pp_Mortality_augmented_decomposed_BRT,change_error_pp_Core_decomposed_BRT,change_error_pp_Modifier_rich_decomposed_BRT,change_error_pp_Mortality_augmented_decomposed_BRT,rich_minus_core_change_pp,augmented_minus_rich_change_pp,rich_improves_absolute_error,auxiliary_improves_absolute_error,severe_loss,augmented_absolute_error_pp
reef_blocked_5fold,1,2503,mmp,17-012,Normanby-Mabel Reef (17-012),2024,0.32729433957230986,0.19259546303681788,-13.4698876535492,6.45,0.6887038594108011,0.571581421394978,1,6.845372987621058,0.6153846153846154,0,0,c | u,"COTS seen this year and last, but also BrB disease | combination of flood, COTS,  minor bleachng  crown-of-thorns starfish | unknown at 2.0 m only",-4.990195544534321,-5.973698434337588,-1.5627159058896334,1.87791304044383,1.752398553366067,1.7097396235074995,6.868108584978148,7.726096987703657,3.2724555293971314,-8.479692109014877,-7.496189219211611,-11.907171747659564,-0.9835028898032672,4.4109825284479545,TRUE,FALSE,TRUE,11.907171747659564
reef_blocked_5fold,3,2973,mmp,22-009,Barren Island Reef (22-009),2024,0.5916565683895456,0.2598804032895316,-33.1776165100014,11.06,0.8432966093606045,1,0.55,4.823371628795423,0.01098901098901099,0,NA,b,bleaching still evident at time of surveys  coral bleaching,-16.86776483669895,-11.931068708698977,-21.395858618206464,3.2505646870781875,3.176116308441107,3.0818765642471164,20.11832952377713,15.107185017140084,24.477735182453586,-16.30985167330245,-21.246547801302423,-11.781757891794935,4.936696127999973,-9.464789909507488,FALSE,TRUE,TRUE,11.781757891794935
reef_blocked_5fold,2,2301,mmp,16-006,Snapper Reef (16-006),2024,0.16863589480805166,0.05155365819270063,-11.708223661535104,6.872,0.2276483309360394,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001,m,"Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-0.465956326669098,-0.6293359003703258,-0.03704352213761697,1.0819822071294058,0.7975842079376128,1.0886961423885877,1.547938533798503,1.4269201083079377,1.1257396645262028,-11.242267334866003,-11.078887761164776,-11.671180139397483,-0.16337957370122785,0.5922923782327089,TRUE,FALSE,TRUE,11.671180139397483
reef_blocked_5fold,4,1048,manta,14-114,MacGillivray Reef (14-114),2024,0.4652605846420815,0.28430049777813515,-18.096008686394633,5.96333333333333,0.22238725883456137,0.0434454558104632,0.8,6.662192357426267,0.1978021978021978,0,0.0092,b,DHW 6.03  coral bleaching,-1.692617590813028,-7.991982423637306,-6.608789128067782,3.9315106533457183,2.715243879868547,2.4185062761761307,5.62412824415875,10.707226303505854,9.027295404243914,-16.403391095581604,-10.104026262757326,-11.487219558326853,-6.299364832824278,1.3831932955695239,TRUE,FALSE,TRUE,11.487219558326853
reef_blocked_5fold,2,2997,mmp,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,0.4840089198869416,0.17797019321167112,-30.60387266752705,12.3,0.9831720862579036,0.874654366947519,0.1,5.3548966285573405,0,0,NA,b,bleaching still evident at time of surveys  coral bleaching,-23.99048482818585,-17.492257950516333,-19.129979850115657,0.3044917223085658,0.38184981716319655,0.3118519167949372,24.29497655049441,17.87410776767953,19.441831766910596,-6.6133878393412,-13.111614717010715,-11.473892817411391,6.4982268776695165,-1.637721899599324,FALSE,TRUE,TRUE,11.473892817411391
reef_blocked_5fold,5,1007,manta,14-016,Corbett Reef (14-016),2024,0.32459695544892575,0.1882912015536389,-13.630575389528683,7.27771812080537,0.29881445006710233,0.580108750421401,1,6.495755978645292,0.17582417582417584,0,0,b,Aerial bl 3 2024 DHW 6.82  coral bleaching,-1.5720711600220203,-5.4419198538348645,-2.4113147647375044,3.0010809854142053,2.4101715414824763,2.340567831411731,4.573152145436228,7.852091395317339,4.751882596149237,-12.058504229506664,-8.18865553569382,-11.21926062479118,-3.8698486938128442,3.03060508909736,TRUE,FALSE,TRUE,11.21926062479118
reef_blocked_5fold,5,2001,manta,21-025,Penrith Reef (21-025),2024,0.363835749390651,0.21068224376707284,-15.315350562357816,8.17857142857143,0.02455375498852522,0,0.4,5.410388454901543,0.01098901098901099,4,0,NA,NA,-5.676702980099346,-7.292780161578438,-4.121837784212201,0.6166251452860521,0.3953068203764344,0.49576530722313583,6.293328125385397,7.688086981954872,4.617603091435334,-9.63864758225847,-8.022570400779378,-11.193512778145614,-1.616077181479092,3.170942377366237,TRUE,FALSE,TRUE,11.193512778145614
reef_blocked_5fold,3,3043,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,0.22997353185720512,0.07922743179567049,-15.074610006153463,12.47,0.7075329405300055,0.742819670261997,0.3,5.455125136460727,0,0,0,b,further decline as a result of bleaching in 2024  coral bleaching,-6.281938817678284,-2.3666243518314896,-4.0273693003805535,0.5182323643064215,0.86890238902395045,0.950061163657526,6.800171181984707,3.23552674085544,4.977430464038079,-8.792671188475179,-12.707985654321972,-11.04724070577291,3.915314465846795,-1.660744948549064,FALSE,TRUE,TRUE,11.04724070577291
reef_blocked_5fold,2,1263,manta,15-030,Swinger Reef (15-030),2024,0.4100183185340346,0.2680747706374903,-14.194354789654422,3.87444444444444,0.2741229924727205,0.149812788731616,1,6.7363531973548385,0.15384615384615383,0,0.0025,b,DHW 3.87  coral bleaching,-1.9543029110457688,-1.563810134006216,-3.2199521879676505,2.1016290768610393,1.9858539917555031,1.7520401762495543,4.055931987906809,3.549664125761719,4.971992364217203,-12.240051878608654,-12.630544655648206,-10.974402601686773,0.39049277703955276,-1.6561420539614344,FALSE,TRUE,TRUE,10.974402601686773
reef_blocked_5fold,3,1078,manta,14-118,Eyrie Reef (14-118),2024,0.32029059765378537,0.15192250536021698,-16.836809229356838,6.28372549019608,0.2234438738768718,0.387817227069386,1,6.662192357426267,0.1978021978021978,0,0.0613,b,DHW 6.27 to 6.32  coral bleaching,-4.104936411724768,-6.415040740457195,-6.077765189048651,1.5297947095877376,1.7395452925011448,1.7635419307715827,5.634731121312509,8.154586032958342,7.841307119820233,-12.73187281763207,-10.421768488899644,-10.759044040308186,-2.310104328732427,0.3372755514085446,TRUE,FALSE,TRUE,10.759044040308186
