gain_probability,loss_probability,conditional_gain_fraction,conditional_loss_fraction,expected_gain_pp,expected_loss_pp,predicted_post_cover,predicted_change_pp,learner,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,mortality_environment_available,weather_available,DISTURBANCE_TYPE,disturbance_text,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
0.4845992213974307,0.344452796248246,0.08455245104978437,0.22215406590616768,1.437570885460018,4.96740592339668,0.6138525592363921,-3.5298350379366683,Mortality-augmented decomposed BRT,2058,manta,21-529,U/N Reef (21-529),2024,2024-11-19,0.6491509096157588,0.4106197004805056,-23.853120913525327,7.19,0.38615538690823586,0,0.5,5.04829112437769,0.04395604395604396,0,0,1,1,b,Aerial bl 5 2024 DHW 7.19 2024  coral bleaching,-0.2032328587558866,-20.32328587558866,forward_2024_2025,2024_2025,20.32328587558866
0.2627621973331096,0.7372378026668904,0.09119629207667876,0.6625028086039463,0.912996903602383,30.23314623981171,0.325794766614763,-29.32014933620933,Mortality-augmented decomposed BRT,1875,manta,19-159,Slate Reef (19-159),2024,2024-05-12,0.6189962599768563,0.5283413420729094,-9.065491790394686,8.61,0.6586105214947701,0,0.45,5.8287453483906155,0.01098901098901099,33,0.0198,1,1,b,DHW 8.61  coral bleaching,0.2025465754581464,20.254657545814645,forward_2024_2025,2024_2025,20.254657545814645
0.5801095069365738,0.41989049306342624,0.12274690265761982,0.17411691742066637,3.807699981245864,3.401521916566272,0.4693223652888774,0.40617806467959094,Mortality-augmented decomposed BRT,1048,manta,14-114,MacGillivray Reef (14-114),2024,2024-09-26,0.4652605846420815,0.28430049777813515,-18.096008686394633,5.96333333333333,0.22238725883456137,0.0434454558104632,0.8,6.662192357426267,0.1978021978021978,0,0.0092,1,1,b,DHW 6.03  coral bleaching,-0.18502186751074223,-18.502186751074223,forward_2024_2025,2024_2025,18.502186751074223
0.10894465169234852,0.8910553483076514,0.07358214472128607,0.3065539147657267,0.26475735278828233,18.29409927236257,0.48943616504004633,-18.02934191957429,Mortality-augmented decomposed BRT,815,ltmp,23-051,Wreck Island Reef (23-051),2024,2024-11-05,0.6697295842357892,0.30498058314261584,-36.47490010931734,11.6295,0.9797631868153628,0.0454611954935722,0.9,5.301987044294902,0.03296703296703297,0,0,1,1,b,big hc decline  coral bleaching,-0.1844555818974305,-18.44555818974305,forward_2024_2025,2024_2025,18.44555818974305
0.4778780774761088,0.4749821103994147,0.0601282676472195,0.2757489119648535,2.29526724933684,2.6352474507882886,0.19780129374994376,-0.339980201451448,Mortality-augmented decomposed BRT,1862,manta,19-138,U/N Reef (19-138),2024,2024-05-10,0.20120109576445824,0.38075191515937695,17.955081939491873,5.812,0.19822604048299736,0,0.45,5.8287453483906155,0.01098901098901099,21,0.0064,1,1,NA,NA,0.1829506214094332,18.29506214094332,forward_2024_2025,2024_2025,18.29506214094332
0.5924565492317262,0.2705329975694421,0.2214622203918195,0.1285055131444178,4.97472668282928,2.158377786099264,0.6490117339820624,2.8163488967300143,Mortality-augmented decomposed BRT,2988,mmp,22-009,Barren Island Reef (22-009),2024,2025-04-20,0.6208482450147622,0.4746668183123068,-14.618142670245543,11.06,0.9188685148426852,1,0.55,4.823371628795423,0.01098901098901099,0,NA,1,1,b,further decline as a result of bleaching in 2024  coral bleaching,-0.17434491566975557,-17.43449156697556,forward_2024_2025,2024_2025,17.43449156697556
0.42637248435862346,0.12410657909692076,0.07601562930014723,0.4560490860126716,2.2030042893427986,1.812802887599165,0.3241926116712217,0.39020140174363394,Mortality-augmented decomposed BRT,1078,manta,14-118,Eyrie Reef (14-118),2024,2024-10-02,0.32029059765378537,0.15192250536021698,-16.836809229356838,6.28372549019608,0.25792108628559274,0.387817227069386,1,6.662192357426267,0.1978021978021978,0,0.0613,1,1,b,DHW 6.27 to 6.32  coral bleaching,-0.17227010631100473,-17.227010631100473,forward_2024_2025,2024_2025,17.227010631100473
0.265523641368188,0.6903158337828089,0.14136092376092843,0.5881053615016489,1.1621590001002906,28.027824733274965,0.4217205096857741,-26.86566573317467,Mortality-augmented decomposed BRT,1984,manta,20-297,Creal Reef (20-297),2024,2025-01-19,0.6903771670175208,0.5912869380093373,-9.909022900818352,8.37,0.25792108628559274,0,0.35,5.8287453483906155,0,30,0.0078,1,1,NA,NA,0.16956642832356317,16.956642832356316,forward_2024_2025,2024_2025,16.956642832356316
0.40172245401244405,0.37608232164239463,0.08392343099244715,0.10782986336507948,2.5960615863545677,0.9326094871956168,0.2466080528487946,1.663452099158949,Mortality-augmented decomposed BRT,3043,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2025-04-21,0.22997353185720512,0.07922743179567049,-15.074610006153463,12.47,0.7075329405300055,0.742819670261997,0.3,5.455125136460727,0,0,0,1,1,b,further decline as a result of bleaching in 2024  coral bleaching,-0.16738062105312412,-16.738062105312412,forward_2024_2025,2024_2025,16.738062105312412
0.7506253767020837,0.24814155945400937,0.09205361604512924,0.244601514879944,4.666885113275754,1.970167232580873,0.35156413425587457,2.696717880694882,Mortality-augmented decomposed BRT,1007,manta,14-016,Corbett Reef (14-016),2024,2024-12-20,0.32459695544892575,0.1882912015536389,-13.630575389528683,7.27771812080537,0.29881445006710233,0.580108750421401,1,6.495755978645292,0.17582417582417584,0,0,1,1,b,Aerial bl 3 2024 DHW 6.82  coral bleaching,-0.16327293270223567,-16.327293270223567,forward_2024_2025,2024_2025,16.327293270223567
