programme_key,learner,composition,prop_acropora_pre,observed_pre_cover,ann_maxdhw,occurrence,positive,mortality,q05,q95,outside_tree_support,observed_dhw_max
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,0.75,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,1,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,1.25,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,1.5,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,1.75,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,2,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,2.25,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,2.5,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,2.75,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,3,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,3.25,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,3.5,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,3.75,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,4,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,4.25,0.311854568355448,0.04823425287046662,0.015042072108866896,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,4.5,0.311854568355448,0.05065474260170627,0.015796912889211433,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,4.75,0.311854568355448,0.05065474260170627,0.015796912889211433,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,5,0.311854568355448,0.05065474260170627,0.015796912889211433,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,5.25,0.311854568355448,0.05065474260170627,0.015796912889211433,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,5.5,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,5.75,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,6,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,6.25,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,6.5,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,6.75,0.311854568355448,0.07114322684721999,0.022186340299853512,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,7,0.3341821417100711,0.07114322684721999,0.023774795915969406,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,7.25,0.350108929490597,0.07206507374193406,0.025230625821449467,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,7.5,0.3567542790887572,0.07476388620154313,0.0266723363237054,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,7.75,0.3567542790887572,0.08112614498840467,0.028942099370588302,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,8,0.3567542790887572,0.08112614498840467,0.028942099370588302,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,8.25,0.38859455968339474,0.08112614498840467,0.031525178590580356,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,8.5,0.4646351051350618,0.08112614498840467,0.03769405490588967,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,8.75,0.4778514619873173,0.08112614498840467,0.03876624698810425,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,9,0.4778514619873173,0.08297401385115138,0.039649253825728606,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,9.25,0.5013369500833013,0.08701550408127232,0.04362408742606612,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,9.5,0.5013369500833013,0.10938596564699957,0.05483922639938353,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,9.75,0.5013369500833013,0.10938596564699957,0.05483922639938353,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,10,0.5013369500833013,0.1377673546034389,0.0690678653779327,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,10.25,0.5261117262790972,0.1377673546034389,0.07248102075531976,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,10.5,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,10.75,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
