ereefs_lat_index,ereefs_lon_index,year,lon,lat,n_reef_features,salinity_min,freshwater_exposure_30,freshwater_exposure_28,days_below_30,days_below_28,salinity_complete_q1,salinity_forcing_warning,k490_q90,coastal_distance_km,coastal_rain_december,coastal_rain_q1,coastal_rain_max_7day,coastal_rain_max_30day,reef_rain_q1,reef_wind_mean,reef_wind_calm3,flood30,flood28,log_kd,log_coastal_rain30,log_coastal_rain7,log_reef_rain
318,155,2020,146.818788,-19.156022,1,33.864871978759766,0,0,0,0,TRUE,FALSE,0.282632379304795,0,19.998788833618164,611.7646484375,234.3985996246338,319.6675720214844,611.7646484375,2.626314401626587,0.6703296703296703,FALSE,FALSE,-1.2636082388450016,5.770404985345434,5.461280245890189,6.417980928181228
318,155,2022,146.818788,-19.156022,1,33.466697692871094,0,0,0,0,TRUE,TRUE,0.2836596335064281,0,112.73957061767578,294.63922119140625,112.35165786743164,240.7190818786621,294.63922119140625,2.7764952182769775,0.6444444444444445,FALSE,FALSE,-1.259980233133615,5.4877762332016085,4.730495002937726,5.689139863599206
318,155,2024,146.818788,-19.156022,1,34.60775375366211,0,0,0,0,FALSE,FALSE,0.2259999960660934,0,150.88558959960938,785.013916015625,208.43601417541504,443.0875797271729,785.013916015625,2.8266942501068115,0.6043956043956044,FALSE,FALSE,-1.4872202971165178,6.096021794618455,5.344418271114453,6.666974497126962
318,156,2016,146.848788,-19.156022,1,33.35903549194336,0,0,0,0,TRUE,FALSE,0.1938123031304433,0,76.36273193359375,528.925537109375,143.69726371765137,292.02771759033203,528.925537109375,2.659651279449463,0.6153846153846154,FALSE,FALSE,-1.6408650978952544,5.680267203827247,4.974643723421678,6.27273650065563
318,156,2017,146.848788,-19.156022,1,34.16883850097656,0,0,0,0,TRUE,FALSE,0.2055899977684021,0,45.50647735595703,401.8680114746094,97.5291748046875,184.08012580871585,401.8680114746094,2.835153102874756,0.5666666666666667,FALSE,FALSE,-1.5818713955708985,5.220788843791733,4.590352695232708,5.998608993350606
318,156,2020,146.848788,-19.156022,1,33.85451126098633,0,0,0,0,TRUE,FALSE,0.2225288914309607,0,19.998788833618164,611.7646484375,234.3985996246338,319.6675720214844,611.7646484375,2.626314401626587,0.6703296703296703,FALSE,FALSE,-1.5026983366775972,5.770404985345434,5.461280245890189,6.417980928181228
318,156,2022,146.848788,-19.156022,1,33.602508544921875,0,0,0,0,TRUE,TRUE,0.1878760051727294,0,112.73957061767578,294.63922119140625,112.35165786743164,240.7190818786621,294.63922119140625,2.7764952182769775,0.6444444444444445,FALSE,FALSE,-1.671973080702529,5.4877762332016085,4.730495002937726,5.689139863599206
318,156,2024,146.848788,-19.156022,1,34.63125228881836,0,0,0,0,FALSE,FALSE,0.2427040034532546,0,150.88558959960938,785.013916015625,208.43601417541504,443.0875797271729,785.013916015625,2.8266942501068115,0.6043956043956044,FALSE,FALSE,-1.4159126709045649,6.096021794618455,5.344418271114453,6.666974497126962
318,157,2016,146.878788,-19.156022,1,33.45075225830078,0,0,0,0,TRUE,FALSE,0.1907424017190933,0,76.36273193359375,528.925537109375,143.69726371765137,292.02771759033203,528.925537109375,2.659651279449463,0.6153846153846154,FALSE,FALSE,-1.6568314433247509,5.680267203827247,4.974643723421678,6.27273650065563
318,157,2017,146.878788,-19.156022,1,34.213134765625,0,0,0,0,TRUE,FALSE,0.1918254573236812,0,45.50647735595703,401.8680114746094,97.5291748046875,184.08012580871585,401.8680114746094,2.835153102874756,0.5666666666666667,FALSE,FALSE,-1.6511693968540992,5.220788843791733,4.590352695232708,5.998608993350606
