Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,storm_name,description,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Manta Tow (LTMP),No Name Reef (14-139),NO NAME REEF,14-139,CL,Northern,_,9,2017,2016,2016-12-10,0.15133600547635084,0.09758722627468341,-0.05374877920166743,-0.13923820137470602,-0.5854638957276505,0.5854638957276505,11.455,m,NA,"Bleaching, storm damage",15.1,9.8,-5.4,-13.9,58.5,11.46
Benthic Photo (LTMP),Thetford Reef (16-068),THETFORD REEF,16-068,CA,Central,_,9,2018,2017,2017-12-12,0.2917339849428202,0.12307718551392634,-0.1686567994288939,-0.17460858683605018,-0.5845895687038537,0.5845895687038537,10.95,b,NA,"declines in HC and SC .  2016/17 bleaching, COTS removal- 36",29.2,12.3,-16.9,-17.5,58.5,10.95
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,2,2021,2021,2021-06-15,0.0162639071630757,0.014538004574972728,-0.0017259025881029722,-0.021861550038944133,-0.5845403846282481,0.5845403846282481,0,NA,NA,NA,1.6,1.5,-0.2,-2.2,58.5,0
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,North,2,2017,2017,2017-09-04,0.047228930232887045,0.028561682560003923,-0.018667247672883122,-0.04151629463560008,-0.584095049882311,0.584095049882311,11.6775,b,NA,NA,4.7,2.9,-1.9,-4.2,58.4,11.68
Manta Tow (LTMP),Mackay Reefs (15-024),MACKAY REEF,15-024,CL,Northern,_,9,2025,2024,2024-10-05,0.4251201626271228,0.1647169175994882,-0.2604032450276346,-0.22847097216141998,-0.5795991660220647,0.5795991660220647,4.431428571,m,NA,DHW 4.03,42.5,16.5,-26,-22.8,58,4.43
Benthic Photo (LTMP),Tern Reef (20-309),TERN ISLAND,20-309,PO,Southern,_,9,2024,2023,2024-03-24,0.2487852430046701,0.11674261464512391,-0.13204262835954617,-0.15962632924331133,-0.5755018099918102,0.5755018099918102,0.81,b,NA,DHW 7.76 11% bl,24.9,11.7,-13.2,-16,57.6,0.81
Manta Tow (LTMP),Broomfield Reef (23-048),BROOMFIELD REEF,23-048,CB,Southern,_,9,2025,2024,2024-11-04,0.581105916624201,0.24912491355726227,-0.3319810030669387,-0.3255395279068361,-0.5655022343900297,0.5655022343900297,11.6,m,NA,Aerial bl 5 2024   DHW 11.6,58.1,24.9,-33.2,-32.6,56.6,11.6
Benthic Photo (LTMP),Agincourt Reefs (No 1) (15-099c),AGINCOURT REEF NO.1,15-099c,CA,Central,_,9,2017,2016,2016-09-12,0.2600309172827717,0.12157677337258557,-0.13845414391018615,-0.15858682534050783,-0.5640375427913552,0.5640375427913552,NA,b,NA,"bleaching mortality-decline in HC and SC.  2015/16 bleaching event, COTS removal dives- 0 COTS",26,12.2,-13.8,-15.9,56.4,NA
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,5,2018,2018,2018-06-14,0.041395876644934014,0.03163623733023158,-0.009759639314702431,-0.041993818653716444,-0.5626931147251019,0.5626931147251019,0,NA,NA,NA,4.1,3.2,-1,-4.2,56.3,0
Benthic Photo (LTMP),Linnet Reef (14-126),LINNET REEF,14-126,CL,Northern,_,9,2017,2016,2016-08-31,0.04596775366864915,0.034392016845806075,-0.011575736822843075,-0.04547212544212101,-0.5623274316100666,0.5623274316100666,7.815,m,Nathan,"0+ bleaching in sector.  Cyclone Ita April 2014, Cyclone Nathan March 2015, COTS removal in 2014 - 261",4.6,3.4,-1.2,-4.5,56.2,7.82
Benthic Photo (LTMP),Havannah Reef (18-065),HAVANNAH ISLAND,18-065,TO,Central,North,9,2021,2020,2021-04-06,0.18388524505970671,0.11146997516988934,-0.07241526988981738,-0.14004963027960127,-0.5546089383052447,0.5546089383052447,8.18,b,NA,bleaching at time of previous survey,18.4,11.1,-7.2,-14,55.5,8.18
Benthic Photo (MMP),Barren Island Reef (22-009),BARREN ISLAND,22-009,CB,Southern,_,2,2024,2024,2024-05-12,0.5916565683895456,0.2598804032895316,-0.331776165100014,-0.32282240383590355,-0.5530595362830427,0.5530595362830427,11.06,b,NA,bleaching still evident at time of surveys,59.2,26,-33.2,-32.3,55.3,11.06
Manta Tow (LTMP),Feather Reef (17-034),FEATHER REEF,17-034,IN,Central,_,9,2018,2017,2018-02-20,0.21829571306814705,0.10729321712116137,-0.11100249594698568,-0.1312952800362136,-0.548003270582609,0.548003270582609,8.91,b,NA,2015/16 and 2016/17 summer Bleaching,21.8,10.7,-11.1,-13.1,54.8,8.91
Benthic Photo (MMP),Middle (Ba-la-ba) Island Reef (23-010),MIDDLE ISLAND,23-010,CB,Southern,_,2,2024,2024,2024-05-11,0.19386016389011806,0.094141417582425,-0.09971874630769306,-0.1149929825956224,-0.547235400287571,0.547235400287571,12.23,b,NA,bleaching still evident at time of surveys,19.4,9.4,-10,-11.5,54.7,12.23
Manta Tow (LTMP),Hoskyn Islands Reef (23-080),HOSKYN ISLAND,23-080,CB,Southern,_,9,2025,2024,2024-11-09,0.6184300829752357,0.2796426122542491,-0.33878747072098664,-0.33679134328879173,-0.5454694227054286,0.5454694227054286,11.385,b,NA,DHW 11.48,61.8,28,-33.9,-33.7,54.5,11.38
Manta Tow (LTMP),Havannah Reef (18-065),HAVANNAH ISLAND,18-065,TO,Central,_,9,1999,1999,1999-05-01,0.15675834333087105,0.0879874646464947,-0.06877087868437634,-0.10642278114283693,-0.5446120837367425,0.5446120837367425,0.49,b,NA,up to 10% bleaching on 6 transects,15.7,8.8,-6.9,-10.6,54.5,0.49
Benthic Photo (MMP),Middle (Ba-la-ba) Island Reef (23-010),MIDDLE ISLAND,23-010,CB,Southern,_,2,2025,2024,2025-04-21,0.094141417582425,0.04823208468649456,-0.045909332895930445,-0.058681033402472244,-0.5437803525804328,0.5437803525804328,12.23,b,NA,further decline as a result of bleaching in 2024,9.4,4.8,-4.6,-5.9,54.4,12.23
