"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Opal Reef (16-025)","16-025","Manta Tow",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC, COTS removal-2188",NA,0.208664314772449,0.159830208970915,-0.0488341058015339,-0.358359185531279,0.358359185531279,0.0488341058015339,5.82,0.466564096080352,17.630083,26.7155342465753,0,0.27344412,1.79733792556942,0.601093318539496,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"U/N Reef (21-187)","21-187","Manta Tow",2025,2024,"2024","SW",9,"b",NA,"decline following bleaching",NA,0.624660021235692,0.348664125327236,-0.275995895908457,-0.356486024841544,0.356486024841544,0.275995895908457,7.25,0.412475064480844,13.447594,25.7649589041096,0,0.4729917,1.7150948888511,0.555113585456099,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Boulder Reef (15-012)","15-012","Manta Tow",2025,2024,"2024","CL",9,"m",NA,"Aerial bl 4 2024 DHW 3.31",NA,0.320367627742585,0.208245571032815,-0.11212205670977,-0.354966477512593,0.354966477512593,0.11212205670977,2.99,0.35,9.582864,26.8035068493151,7.11,0.25338438,1.97636660624537,0.768912448762744,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Myrmidon Reef (18-034)","18-034","LTMP Benthic",2003,2002,"1998/2002","TO",9,"b",NA,"bleaching scattered colonies on 6 transects.",NA,0.34493175762048,0.23445452802873,-0.11047722959175,-0.35303518045685,0.35303518045685,0.11047722959175,3.82,0.18879353186608,14.271323,26.4075342465753,6.9,0.29067624,1.87977863770658,0.630236691885792,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Havannah Reef (18-065)","18-065","LTMP Benthic",2017,2016,"2016/2017","TO",9,"b",NA,NA,NA,0.0339345623104307,0.0605378297037901,0.0266032673933595,-0.351121636912911,0.351121636912911,0,3.33,0.481904373869358,14.271323,26.2853150684931,0,0.1348673,2.57022513206508,0.54007329009094,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Seaforth Reef (20-095)","20-095","MMP Inshore",2021,2021,NA,"WH",5,NA,NA,NA,NA,0.123569283021143,0.108817783121937,-0.0147514998992057,-0.35004788509784,0.35004788509784,0.0147514998992057,0,0.053415024382235,14.271323,26.4075342465753,6.9,0.29067624,1.87977863770658,0.630236691885792,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,0.268419428184088,0.199533140217297,-0.0688862879667911,-0.349089561420419,0.349089561420419,0.0688862879667911,12.41,0.81741942598235,9.361234,24.3857808219178,9.4,0.17823905,2.6844766855476,0.523071389372804,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Orpheus (Goolboddi) Island Reef (No 5) (18-049e)","18-049e","MMP Inshore",2024,2024,"2024","TO",2,"m",NA,"bleaching observed during targetted bleaching surveys",NA,0.432512619219539,0.286967498734092,-0.145545120485447,-0.347716033932656,0.347716033932656,0.145545120485447,5.37,0.883658913341371,14.271323,26.4267671232877,6.36,0.19903426,2.28690565911969,0.669460798024763,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Seaforth Reef (20-095)","20-095","MMP Inshore",2023,2023,NA,"WH",5,NA,NA,NA,NA,0.107424042717295,0.0984764516487559,-0.00894759106853869,-0.346119503438035,0.346119503438035,0.00894759106853869,0.14,0,14.271323,26.4075342465753,6.9,0.29067624,1.87977863770658,0.630236691885792,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Myrmidon Reef (18-034)","18-034","Manta Tow",2025,2024,"2024","TO",9,"b",NA,"DHW 7.18",NA,0.464543412681069,0.295304935030827,-0.169238477650242,-0.345322361104961,0.345322361104961,0.169238477650242,8.73,0.193437560697892,21.92134,27.1435890410959,6.3,0.4098731,1.55157153946303,0.635186224768822,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Feather Reef (17-034)","17-034","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"2015/16 and 2016/17 summer Bleaching.  Mass coral mortality in absence of large numbers of COTS",NA,0.498808267089033,0.27840489714813,-0.220403369940902,-0.342698160293544,0.342698160293544,0.220403369940902,8.91,0.30190549354573,14.201094,27.2652459016393,0,0.24675454,1.76278974122634,0.707406767884459,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"East Cay Reef (21-305)","21-305","LTMP Benthic",2024,2024,"2024","SW",9,"b",NA,"DHW 7.67 mass loss of SC",NA,0.219091906977035,0.177402528414038,-0.0416893785629976,-0.342137011904634,0.342137011904634,0.0416893785629976,7.67,0.209397721527752,16.680683,25.8848219178082,0,0.2851248,1.71186489146863,0.579424426615435,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
