"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Wardle Reef (17-032)","17-032","Manta Tow",2017,2016,"2016/2017","IN",9,"b",NA,"Bleaching",NA,17.2,11.6,-5.6,-44.1,44.1,5.6,4.25,62.2,28.04,26.71,0,0.22,1.87,0.53,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Arlington Reef (16-064)","16-064","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"2016/17 summer bleaching",NA,15.7,9.5,-6.1,-43.8,43.8,6.1,10.9,32.8,19.93,27.49,0,0.22,1.57,0.73,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Snapper Reef (16-006)","16-006","MMP Inshore",2017,2017,"2016/2017","CA",5,"b",NA,NA,NA,21.9,14.6,-7.3,-42.6,42.6,7.3,11.65,5,6.25,27.29,0,0.19,1.89,0.84,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Corbett Reef (14-016)","14-016","Manta Tow",2025,2024,"2024","PB",9,"b",NA,"Aerial bl 3 2024 DHW 6.82",NA,32.5,18.8,-13.6,-42.5,42.5,13.6,7.49,29.9,14.27,27.08,6.41,0.23,1.91,0.81,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Pandora Reef (18-051)","18-051","MMP Inshore",2017,2017,"2016/2017","TO",2,"b",NA,NA,NA,5.2,4.8,-0.4,-42.5,42.5,0.4,8.52,20.5,14.85,26.86,0,0.14,2.41,0.64,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Richards (Bedarra) Reef (18-001)","18-001","MMP Inshore",2017,2017,"2016/2017","IN",2,"b",NA,NA,NA,9.9,7.7,-2.2,-42.3,42.3,2.2,7.35,14.8,14.27,26.99,0,0.23,2.18,0.71,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"U/N Reef (19-138)","19-138","Manta Tow",2003,2002,"1998/2002","WH",9,"b",NA,"Coral bleaching event in 2002",NA,22.3,15.1,-7.2,-41.7,41.7,7.2,2.74,21.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Linnet Reef (14-126)","14-126","LTMP Benthic",2025,2024,"2024","CL",9,"b",NA,"DHW 6.73",NA,31.7,18.6,-13.1,-41.6,41.6,13.1,6.73,63.4,8.16,26.84,10.06,0.17,1.95,0.79,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Martin Reef (14-123)","14-123","LTMP Benthic",2025,2024,"2024","CL",9,"b",NA,"no decline",NA,21,13.2,-7.7,-40.9,40.9,7.7,6.4,58.4,8.74,26.9,9.56,0.17,1.88,0.78,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2021,2021,NA,"CB",2,"b",NA,"bleaching at time of previous survey",NA,34.1,21.2,-12.9,-39.9,39.9,12.9,0,85.9,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"U/N Reef (19-131a)","19-131a","Manta Tow",1999,1998,"1998/2002","WH",9,"b",NA,"Bleaching",NA,17.7,13.2,-4.5,-39.4,39.4,4.5,0.65,5.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"East Cay Reef (21-305)","21-305","Manta Tow",2025,2024,"2024","SW",9,"b",NA,"Aerial bl 5 2024 DHW 7.67",NA,31.4,22.6,-8.7,-39.3,39.3,8.7,7.67,21.7,16.68,25.88,0,0.29,1.71,0.58,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Agincourt Reefs (No 1) (15-099c)","15-099c","Manta Tow",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality-decline in HC and SC",NA,18.3,13.3,-5,-38.5,38.5,5,6.89,30.5,15.15,26.74,0,0.29,1.74,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Grub Reef (18-077)","18-077","Manta Tow",2018,2017,"2016/2017","TO",9,"b",NA,"DHW 2017>4",NA,11.4,9.8,-1.7,-38.5,38.5,1.7,5.55,10.4,16.67,27.17,6.87,0.31,1.61,0.59,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"St Crispin Reef (16-019)","16-019","LTMP Benthic",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC.  2015/16 summer bleaching, COTS removal-69",NA,20.8,14,-6.8,-38.4,38.4,6.8,5.82,26.9,25.65,26.7,0,0.28,1.79,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Gannett Cay Reef (21-556)","21-556","LTMP Benthic",2025,2024,"2024","SW",9,"b",NA,"DHW 8.47",NA,7,6.9,-0.1,-38.1,38.1,0.1,8.47,1.6,13.68,25.46,6.8,0.38,1.85,0.56,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"MacGillivray Reef (14-114)","14-114","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.03",NA,46.5,28.4,-18.1,-38.1,38.1,18.1,5.93,22.2,16.52,27.12,8.66,0.22,1.66,0.78,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Rebe Reef (19-209)","19-209","LTMP Benthic",2025,2024,"2024","WH",9,"b",NA,"Aerial bl 4",NA,34.4,21.7,-12.7,-37.5,37.5,12.7,11.14,64,11.93,26.46,6.85,0.55,1.56,0.62,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Thetford Reef (16-068)","16-068","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"declines in HC and SC",NA,19,13.5,-5.6,-37.2,37.2,5.6,10.88,47.8,23.01,27.47,0,0.25,1.55,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"East Cay Reef (21-305)","21-305","LTMP Benthic",2025,2024,"2024","SW",9,"b",NA,"Aerial bl 5 2024 DHW 7.67",NA,17.7,14.6,-3.1,-37,37,3.1,7.67,20.9,16.68,25.88,0,0.29,1.71,0.58,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Lady Musgrave Reef (23-082a)","23-082a","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 4 2024 DHW 11.42",NA,63.2,39.3,-23.9,-36.7,36.7,23.9,11.12,94.7,30.28,24.91,6.29,0.34,1.99,0.57,22,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,20,15.2,-4.8,-36.7,36.7,4.8,12.41,81.7,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (13-124)","13-124","Manta Tow",2025,2024,"2024","PB",9,"b",NA,"DHW 7.65",NA,39.4,24.3,-15.1,-36.6,36.6,15.1,7.65,17.7,14.74,27.12,6.23,0.23,1.82,0.8,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Wreck Island Reef (23-051)","23-051","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024  DHW 11.64",NA,57.9,36.4,-21.4,-36.4,36.4,21.4,11.64,98,9.46,24.9,6.48,0.39,1.98,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Magnetic Island Reef (No 2) (19-009c)","19-009c","MMP Inshore",2024,2024,"2024","TO",2,"b",NA,"partial bleaching at time of surveys",NA,27,17.5,-9.5,-36.2,36.2,9.5,9.07,18.3,14.27,26.28,10.27,0.12,2.64,0.68,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"North Direction Reef (14-143)","14-143","LTMP Benthic",2025,2024,"2024","CL",9,"b",NA,"decline in hc and sc",NA,17.6,12.7,-4.9,-36.1,36.1,4.9,6.23,43.7,14.27,27.16,6.57,0.25,1.64,0.77,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fairfax Islands Reef (23-081)","23-081","Manta Tow",2025,2024,"2024","CB",9,"b",NA,"Aerial bl 4 2024 DHW 11.46 2024",NA,65,40.7,-24.3,-35.9,35.9,24.3,11.26,84.2,15.97,24.97,6.03,0.34,1.96,0.57,22,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,12.3,8.8,-3.6,-35.9,35.9,3.6,12.23,35.3,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Opal Reef (16-025)","16-025","Manta Tow",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC, COTS removal-2188",NA,20.9,16,-4.9,-35.8,35.8,4.9,5.82,24.7,17.63,26.72,0,0.27,1.8,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"U/N Reef (21-187)","21-187","Manta Tow",2025,2024,"2024","SW",9,"b",NA,"decline following bleaching",NA,62.5,34.9,-27.6,-35.6,35.6,27.6,7.25,31.4,13.45,25.76,0,0.47,1.72,0.56,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Boulder Reef (15-012)","15-012","Manta Tow",2025,2024,"2024","CL",9,"m",NA,"Aerial bl 4 2024 DHW 3.31",NA,32,20.8,-11.2,-35.5,35.5,11.2,2.99,60.6,9.58,26.8,7.11,0.25,1.98,0.77,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Myrmidon Reef (18-034)","18-034","LTMP Benthic",2003,2002,"1998/2002","TO",9,"b",NA,"bleaching scattered colonies on 6 transects.",NA,34.5,23.4,-11,-35.3,35.3,11,3.82,21.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Havannah Reef (18-065)","18-065","LTMP Benthic",2017,2016,"2016/2017","TO",9,"b",NA,NA,NA,3.4,6.1,2.7,-35.1,35.1,0,3.33,26.3,14.27,26.29,0,0.13,2.57,0.54,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,26.8,20,-6.9,-34.9,34.9,6.9,12.41,85.5,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
