Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (MMP),Seaforth Reef (20-095),SEAFORTH ISLAND,20-095,WH,Southern,_,2,2017,2017,2017-06-29,0.14905303954698468,0.08787807834802888,-0.061174961198955796,-0.14764930437063725,-0.624237678841001,0.624237678841001,5.98,NA,14.9,8.8,-6.1,-14.8,62.4,5.98
Manta Tow (LTMP),Fitzroy Island Reef (No 1) (16-054a),FITZROY ISLAND,16-054a,CA,Central,_,9,1999,1998,1999-02-08,0.2390150718037775,0.09838463239892227,-0.14063043940485526,-0.1584999160648436,-0.6146157922567962,0.6146157922567962,1.015,b,23.9,9.8,-14.1,-15.8,61.5,1.01
Benthic Photo (LTMP),Rib Reef (18-032),RIB REEF,18-032,TO,Central,_,9,2003,2002,2003-03-08,0.05139615110974356,0.03319531076841172,-0.01820084034133184,-0.0500444774529027,-0.5940717386590059,0.5940717386590059,2.6,n,5.1,3.3,-1.8,-5,59.4,2.6
Benthic Photo (LTMP),Moore Reef (16-071),MOORE REEF,16-071,IN,Central,_,9,2018,2017,2017-12-19,0.28758565433655,0.11858300978471017,-0.1690026445518398,-0.17309142417538817,-0.5914128604720784,0.5914128604720784,10.63,b,28.8,11.9,-16.9,-17.3,59.1,10.63
Benthic Photo (MMP),Pelican Island Reef (23-017),PELICAN ISLAND,23-017,CB,Southern,_,2,2024,2024,2024-05-14,0.06792091059527568,0.04020428702893302,-0.027716623566342656,-0.05925933309303383,-0.589858627641435,0.589858627641435,13.26,NA,6.8,4,-2.8,-5.9,59,13.26
Benthic Photo (LTMP),Turner Reef (21-562),TURNER CAY,21-562,SW,Southern,_,9,2021,2020,2020-09-06,0.054479115033619116,0.05697281508785689,0.0024937000542377755,-0.08258451258423924,-0.5875503892397504,0.5875503892397504,5.98,NA,5.4,5.7,0.2,-8.3,58.8,5.98
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,5,2025,2024,2025-04-21,0.13594107109759657,0.061526046434921836,-0.07441502466267473,-0.08875640436178034,-0.5866933269150553,0.5866933269150553,12.47,NA,13.6,6.2,-7.4,-8.9,58.7,12.47
Manta Tow (LTMP),No Name Reef (14-139),NO NAME REEF,14-139,CL,Northern,_,9,2017,2016,2016-12-10,0.15133600547635084,0.09758722627468341,-0.05374877920166743,-0.13923820137470602,-0.5854638957276505,0.5854638957276505,11.455,b,15.1,9.8,-5.4,-13.9,58.5,11.46
Benthic Photo (LTMP),Thetford Reef (16-068),THETFORD REEF,16-068,CA,Central,_,9,2018,2017,2017-12-12,0.2917339849428202,0.12307718551392634,-0.1686567994288939,-0.17460858683605018,-0.5845895687038537,0.5845895687038537,10.95,b,29.2,12.3,-16.9,-17.5,58.5,10.95
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,2,2021,2021,2021-06-15,0.0162639071630757,0.014538004574972728,-0.0017259025881029722,-0.021861550038944133,-0.5845403846282481,0.5845403846282481,0,NA,1.6,1.5,-0.2,-2.2,58.5,0
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,North,2,2017,2017,2017-09-04,0.047228930232887045,0.028561682560003923,-0.018667247672883122,-0.04151629463560008,-0.584095049882311,0.584095049882311,11.6775,NA,4.7,2.9,-1.9,-4.2,58.4,11.68
Manta Tow (LTMP),Mackay Reefs (15-024),MACKAY REEF,15-024,CL,Northern,_,9,2025,2024,2024-10-05,0.4251201626271228,0.1647169175994882,-0.2604032450276346,-0.22847097216141998,-0.5795991660220647,0.5795991660220647,4.431428571,NA,42.5,16.5,-26,-22.8,58,4.43
Benthic Photo (LTMP),Tern Reef (20-309),TERN ISLAND,20-309,PO,Southern,_,9,2024,2023,2024-03-24,0.2487852430046701,0.11674261464512391,-0.13204262835954617,-0.15962632924331133,-0.5755018099918102,0.5755018099918102,0.81,NA,24.9,11.7,-13.2,-16,57.6,0.81
Manta Tow (LTMP),Broomfield Reef (23-048),BROOMFIELD REEF,23-048,CB,Southern,_,9,2025,2024,2024-11-04,0.581105916624201,0.24912491355726227,-0.3319810030669387,-0.3255395279068361,-0.5655022343900297,0.5655022343900297,11.6,NA,58.1,24.9,-33.2,-32.6,56.6,11.6
Benthic Photo (LTMP),Agincourt Reefs (No 1) (15-099c),AGINCOURT REEF NO.1,15-099c,CA,Central,_,9,2017,2016,2016-09-12,0.2600309172827717,0.12157677337258557,-0.13845414391018615,-0.15858682534050783,-0.5640375427913552,0.5640375427913552,NA,b,26,12.2,-13.8,-15.9,56.4,NA
