ann_maxdhw,scenario,programme_key,prop_acropora_pre,dhw_novelty10,log_coastal_rain30,wqc_prior10_percentile,cloudp_90,predicted_occurrence,predicted_positive_mortality,predicted_mortality,tail_probability,tail_magnitude,conservative_prediction,soft_gate_prediction,aggressive_prediction,observed_dhw_min,observed_dhw_max,outside_observed_dhw
5.25,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.2792237877719182,0.020189643562216548,0.005637428749207028,0.006184331512674229,0.3943966474112703,0.006839536692614233,0.008041644636021437,0.0362096561730126,4.12,13.26,FALSE
5.25,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.1180506107383534,0.0525641734860407,0.006205232782983868,0.013368216407755545,0.4213543478477596,0.008980134388820933,0.011755035994657999,0.05420518999244569,0,11.64,FALSE
5.25,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.12170425068419607,0.07312094600286168,0.008899129942597842,0.018145975182820358,0.380261654805064,0.012268497522589752,0.015637865102581663,0.058924260660978445,0,11.64,FALSE
5.25,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.34688177370660983,0.07136032005101779,0.024753594391568406,0.06433570112169135,0.48541553637579415,0.03957209890038594,0.05439060340920347,0.14159811556679416,4.12,13.26,FALSE
5.25,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.4347720680285521,0.21357782030526118,0.09285767061914889,0.8257976685143129,0.5029254974256843,0.26217419827393285,0.43149072592871685,0.46550028905624047,0,11.64,FALSE
5.25,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.3811621995153062,0.33150138440709004,0.12635579682297549,0.6808675380450897,0.46503463398864076,0.24165350984745565,0.3569512228719358,0.40581561638561503,0,11.64,FALSE
5.25,High compound risk,mmp,0.8817916436590687,8.18,6.812168274251864,0.8,0.6265433,0.5245118280685993,0.40019140489790567,0.2099051253603415,0.21154387694145158,0.5357076281345523,0.2443658876373838,0.2788266499144261,0.35975440028262795,4.12,13.26,FALSE
5.5,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.3976624715176458,0.020464232514589835,0.00813785727946356,0.00728559238852575,0.39661193621653446,0.009552989175785297,0.010968121072107036,0.04129632708728363,0,11.64,FALSE
5.5,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.3953551895315,0.05440753495952982,0.021510301295866622,0.009598746544748077,0.3465881277948318,0.0230704711278072,0.024630640959747777,0.053359213928372576,0,11.64,FALSE
5.5,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.3610944047359906,0.020407412918512818,0.00736900262001195,0.006558360960245272,0.39686791630116025,0.008646239854784143,0.009923477089556336,0.03891206890903601,4.12,13.26,FALSE
5.5,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.11725300382891346,0.0635908344964489,0.007456216360695924,0.012854098561809609,0.4213543478477596,0.010116360049037699,0.012776503737379475,0.05438229657397959,0,11.64,FALSE
