programme_key,source_observation_id,ReefID,ReefName,event_year,ann_maxdhw,observed_mortality,Standard two-part BRT,Conservative tail ensemble,standard_absolute_error,conservative_absolute_error,error_reduction
manta,3988617,14-118,Eyrie Reef (14-118),2024,6.2700000000000005,0.5256729155551548,0.3156842939812098,0.3363042672685239,0.20998862157394504,0.18936864828663091,0.02061997328731413
manta,4284672,22-088a,U/N Reef (22-088a),2024,7.58,0.3397865462448271,0.1212875144851474,0.14105437277654437,0.21849903175967972,0.19873217346828276,0.01976685829139696
ltmp,4228045,19-209,Rebe Reef (19-209),2024,11.14,0.3688870700792086,0.09172957736064212,0.11081476334685038,0.2771574927185665,0.25807230673235826,0.01908518598620823
manta,4206349,16-028,Low Islands Reef (16-028),2024,6.42,0.4177050324727606,0.39243409290890585,0.42411104733341903,0.025270939563854733,0.006406014860658449,0.018864924703196284
ltmp,4182001,22-104a,Horseshoe Reef (No 1) (22-104a),2024,9.08,0.10896430189600032,0.08073092842996181,0.09938172623719506,0.028233373466038506,0.009582575658805256,0.01865079780723325
ltmp,4238627,21-305,East Cay Reef (21-305),2017,1.79,0.09382327022529612,0.04302329447975184,0.0613436624351525,0.050799975745544276,0.03247960779014362,0.01832036795540066
manta,4284384,21-305,East Cay Reef (21-305),2017,1.79,0.11224469760741695,0.06030433248582848,0.0777120903884453,0.05194036512158848,0.03453260721897165,0.017407757902616824
manta,4206488,16-019,St Crispin Reef (16-019),2024,5.87,0.207455587532888,0.4414862045137763,0.4247155195004755,0.23403061698088828,0.21725993196758747,0.016770685013300812
ltmp,4223046,21-139,U/N Reef (21-139),2024,8.6,0.17477970140301632,0.15155276198448017,0.1820210809488479,0.023226939418536152,0.007241379545831567,0.015985559872704586
manta,4206375,14-114,MacGillivray Reef (14-114),2024,5.93,0.3889435143171571,0.18043969335890123,0.1959821066534665,0.2085038209582559,0.19296140766369063,0.015542413294565266
manta,4067676,19-131a,U/N Reef (19-131a),2022,5.01,0.22874494410334925,0.0998075384314565,0.11517802944741189,0.12893740567189277,0.11356691465593736,0.015370491015955404
manta,4285333,14-016,Corbett Reef (14-016),2024,7.49,0.41992308186246713,0.05960209155047841,0.07439228412739898,0.3603209903119887,0.3455307977350681,0.014790192576920602
manta,4068674,17-034,Feather Reef (17-034),2017,8.91,0.5084959955779488,0.27605176755019883,0.29008337680456187,0.23244422802774994,0.2184126187733869,0.014031609254363031
ltmp,4185533,23-055a,One Tree Island Reef (23-055a),2024,11.53,0.7056209452888168,0.4267878689164405,0.44065158060592025,0.2788330763723763,0.26496936468289656,0.013863711689479752
mmp,4160229,16-006,Snapper Reef (16-006),2017,11.65,0.33227003419729356,0.28394624198913654,0.366771544113441,0.048323792208157024,0.03450150991614742,0.013822282292009602
mmp,4148243,18-065,Havannah Reef (18-065),2017,8.71,0.32043253344777983,0.3024632989603627,0.3152862988045824,0.017969234487417107,0.0051462346431974115,0.012822999844219696
ltmp,4179541,16-057,Hastings Reef (16-057),2024,7.62,0.1327893266155054,0.03942170161282327,0.05192496623772375,0.09336762500268214,0.08086436037778166,0.012503264624900479
ltmp,3812066,18-042,Roxburgh Reef (18-042),2017,7.54,0.44260099402814246,0.07754828713069328,0.08943860735493343,0.3650527068974492,0.35316238667320904,0.011890320224240136
ltmp,4242370,14-016,Corbett Reef (14-016),2024,7.49,0.09426476809555026,0.04578325196896646,0.05754332836910651,0.0484815161265838,0.036721439726443754,0.011760076400140047
manta,4067875,18-031,Little Kelso Reef (18-031),2017,7.19,0.346676653585304,0.26177316389529753,0.2730738329053088,0.08490348969000644,0.07360282067999518,0.011300669010011255
ltmp,4240550,13-130,Davie Reef (13-130),2024,7.03,0.02774463588112439,0.6270452239962344,0.6164245183983371,0.59930058811511,0.5886798825172127,0.010620705597897295
manta,4206192,16-015,Mackay Reef (16-015),2024,3.52,0.6125403307582871,0.08202168574612807,0.09254557022982732,0.530518645012159,0.5199947605284597,0.01052388448369923
manta,4285342,13-133,Tydeman Reef (13-133),2024,7.18,0.26606508064600476,0.03596698528977529,0.04596727460000659,0.23009809535622947,0.22009780604599816,0.010000289310231308
mmp,4162802,16-054a,Fitzroy Island Reef (No 1) (16-054a),2017,10.69,0.20422237466329743,0.16462987716416233,0.17461330995008134,0.0395924974991351,0.029609064713216088,0.00998343278591901
manta,3989168,21-529,U/N Reef (21-529),2024,7.19,0.3674510897264907,0.17751566569877958,0.18743511184440437,0.18993542402771113,0.18001597788208634,0.009919446145624788
ltmp,4184040,21-556,Gannett Cay Reef (21-556),2020,6.8,0.5658792943952381,0.05030122273135388,0.05983553543331149,0.5155780716638843,0.5060437589619267,0.009534312701957592
ltmp,4178609,16-068,Thetford Reef (16-068),2024,7.34,0.05542349117761327,0.02937103891604324,0.07308417975955658,0.02605245226157003,0.017660688581943314,0.008391763679626716
mmp,4142987,18-001,Richards (Bedarra) Reef (18-001),2017,7.35,0.2223209532216766,0.03429015617471503,0.04261999662311987,0.18803079704696157,0.17970095659855673,0.008329840448404846
manta,4284513,23-069,Mast Head Reef (23-069),2024,11.08,0.27324709489204596,0.16663359311348372,0.17476929096951554,0.10661350177856224,0.09847780392253042,0.008135697856031826
ltmp,4238622,21-305,East Cay Reef (21-305),2024,7.67,0.19028260394560065,0.1387823273390329,0.14658023346371066,0.05150027660656775,0.04370237048188999,0.0077979061246777615
ltmp,4181617,23-069,Mast Head Reef (23-069),2024,11.08,0.2019468711406776,0.13628806219803943,0.14396430091194803,0.06565880894263817,0.057982570228729574,0.007676238713908601
manta,4066907,20-351a,Pompey Reef (No 1) (20-351a),2024,8.63,0.07325807915336613,0.05799407994353952,0.06554045387165575,0.015263999209826608,0.007717625281710383,0.007546373928116225
manta,4066204,19-098,Wansfell Reef (19-098),2024,3.37,0.19912105097139948,0.00841415096709657,0.01528723968311154,0.1907069000043029,0.18383381128828793,0.006873088716014969
ltmp,4172230,14-143,North Direction Reef (14-143),2024,6.23,0.27692573545021293,0.10679129184332288,0.11344426099298369,0.17013444360689006,0.16348147445722924,0.00665296914966082
manta,4206254,16-057,Hastings Reef (16-057),2016,5.29,0.18667456706796567,0.06204141859895882,0.06863439663624617,0.12463314846900686,0.11804017043171951,0.006592978037287353
ltmp,4241950,12-061,Lagoon Reef (12-061),2024,5.54,0.20439217846985944,0.05700519656551409,0.0635728005303066,0.14738698190434535,0.14081937793955285,0.006567603964792501
