source_observation_id,ReefID,ReefName,event_year,survey_date,depth,reef_zone,reefpage_category,mortality_prop,legacy_survey_max_dhw,reconstructed_ann_maxdhw,dhw_difference,legacy_below4,reconstructed_below4,legacy_below4_reclassified,environmental_feature_count,environment_match_method,lon,lat
4164870,17-009a,Tobias Spit (17-009a),2017,2017-06-25,2,West,null,0.14872477184050006,11.03,11.03,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4164890,17-009a,Tobias Spit (17-009a),2017,2017-06-25,5,East,null,0.056060783218231644,11.03,11.03,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4164907,17-009a,Tobias Spit (17-009a),2017,2017-06-25,5,West,null,0.2341486231112693,11.03,11.03,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4140753,22-009,Barren Island Reef (22-009),2024,2025-04-20,2,_,null,0.17115624670633436,11.06,11.06,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.97019405525165,-22.03235881514772
4140754,22-009,Barren Island Reef (22-009),2024,2024-05-12,2,_,null,0.5607580187998068,11.06,11.06,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.97019405525165,-22.03235881514772
4140772,22-009,Barren Island Reef (22-009),2024,2025-04-20,5,_,null,0.2354543608301246,11.06,11.06,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.97019405525165,-22.03235881514772
4140773,22-009,Barren Island Reef (22-009),2024,2024-05-12,5,_,null,0.1182622800359385,11.06,11.06,0,FALSE,FALSE,FALSE,1,exact_reef_name,149.97019405525165,-22.03235881514772
4160187,16-006,Snapper Reef (16-006),2017,2017-09-04,2,North,null,0.3952502752197531,11.6775,11.65,-0.027499999999999858,FALSE,FALSE,FALSE,1,exact_reef_name,145.49964598918365,-16.29825950899472
4160208,16-006,Snapper Reef (16-006),2017,2017-09-05,2,South,null,0,11.6775,11.65,-0.027499999999999858,FALSE,FALSE,FALSE,1,exact_reef_name,145.49964598918365,-16.29825950899472
4160229,16-006,Snapper Reef (16-006),2017,2017-09-04,5,North,null,0.33227003419729356,11.6775,11.65,-0.027499999999999858,FALSE,FALSE,FALSE,1,exact_reef_name,145.49964598918365,-16.29825950899472
4160250,16-006,Snapper Reef (16-006),2017,2017-09-05,5,South,null,0,11.6775,11.65,-0.027499999999999858,FALSE,FALSE,FALSE,1,exact_reef_name,145.49964598918365,-16.29825950899472
4138915,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,2025-04-21,2,_,null,0.48766349684223503,12.23,12.23,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.9157613859647,-23.16776570796188
4138916,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,2024-05-11,2,_,null,0.5143849272933385,12.23,12.23,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.9157613859647,-23.16776570796188
4138931,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,2025-04-21,5,_,null,0.28856582591991914,12.23,12.23,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.9157613859647,-23.16776570796188
4138932,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,2024-05-11,5,_,null,0.41195017565191666,12.23,12.23,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.9157613859647,-23.16776570796188
4143649,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2025-04-21,2,_,null,0.649764667289415,12.135,12.41,0.27500000000000036,FALSE,FALSE,FALSE,1,reef_id_fallback,150.89289200427064,-23.08244185620352
4143650,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2024-05-12,2,_,null,0.6322997657703442,12.135,12.41,0.27500000000000036,FALSE,FALSE,FALSE,1,reef_id_fallback,150.89289200427064,-23.08244185620352
4143665,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2025-04-21,5,_,null,0.2382175190368768,12.135,12.41,0.27500000000000036,FALSE,FALSE,FALSE,1,reef_id_fallback,150.89289200427064,-23.08244185620352
4143666,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2024-05-12,5,_,null,0.25663674359498084,12.135,12.41,0.27500000000000036,FALSE,FALSE,FALSE,1,reef_id_fallback,150.89289200427064,-23.08244185620352
4155453,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2025-04-21,2,_,null,0.6554932597858075,12.47,12.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4155454,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2024-05-12,2,_,null,0.5371587878089377,12.47,12.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4155473,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2025-04-21,5,_,null,0.5474064906348262,12.47,12.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4155474,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,2024-05-12,5,_,null,0.5048925612238839,12.47,12.47,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4149293,23-017,Pelican Island Reef (23-017),2024,2025-04-22,2,_,null,0,13.26,13.26,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.87335668714215,-23.243117567095407
4149294,23-017,Pelican Island Reef (23-017),2024,2024-05-14,2,_,null,0.40807202558722055,13.26,13.26,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.87335668714215,-23.243117567095407
4149312,23-017,Pelican Island Reef (23-017),2024,2025-04-22,5,_,null,0.02301944253341331,13.26,13.26,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.87335668714215,-23.243117567095407
4149313,23-017,Pelican Island Reef (23-017),2024,2024-05-14,5,_,null,0.018577819728650656,13.26,13.26,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.87335668714215,-23.243117567095407
