programme_key,zero_retention,prediction_type,dhw_band,n,observed_mean,predicted_mean,occurrence_mean,positive_mean,bias,mae,rmse,predictive_r2
mmp,0.5,prevalence_corrected,>=12,16,0.38588146929386036,0.340739158031839,0.8681253009577462,0.3838043779208544,-0.04514231126202133,0.19416537685914642,0.21239849709158262,0.047360641731137076
mmp,0.5,raw_downsampled,4-<8,38,0.15408653348924553,0.20870887937209145,0.6763335880144332,0.28572434117346973,0.054622345882845924,0.2124890939593603,0.28146913708960686,-0.15415170097361108
mmp,0.5,raw_downsampled,8-<12,36,0.13394755431457356,0.19906516807799338,0.7946013848222443,0.23795718192097756,0.06511761376341982,0.1159587043641381,0.1435456305899243,-0.06408851957169759
mmp,0.5,raw_downsampled,>=12,16,0.38588146929386036,0.3604349790135612,0.9276066645220413,0.3838043779208544,-0.02544649028029918,0.190786852697999,0.21306217308145353,0.04139796632953929
mmp,0.75,conditional_positive,4-<8,38,0.15408653348924553,0.28572434117346973,1,0.28572434117346973,0.13163780768422423,0.26119649197584777,0.3191563707733506,-0.48391275712442505
mmp,0.75,conditional_positive,8-<12,36,0.13394755431457356,0.23795718192097756,1,0.23795718192097756,0.104009627606404,0.13730578983357916,0.1606485531196536,-0.33275843409813066
mmp,0.75,conditional_positive,>=12,16,0.38588146929386036,0.3838043779208544,1,0.3838043779208544,-0.0020770913730059504,0.18712940006602544,0.21684172214330333,0.007086679294217357
mmp,0.75,prevalence_corrected,4-<8,38,0.15408653348924553,0.1699748614211058,0.5344376065716501,0.28572434117346973,0.01588832793186026,0.1900626235789574,0.26919939315840435,-0.05572179058327009
mmp,0.75,prevalence_corrected,8-<12,36,0.13394755431457356,0.17533872323678198,0.6846077874202023,0.23795718192097756,0.04139116892220841,0.11056782156951081,0.13967318174330126,-0.007450822077066155
mmp,0.75,prevalence_corrected,>=12,16,0.38588146929386036,0.3359789685613856,0.850205333110839,0.3838043779208544,-0.049902500732474805,0.17948291484554912,0.19711420305958077,0.17953231875775055
mmp,0.75,raw_downsampled,4-<8,38,0.15408653348924553,0.18755502372145183,0.5957192256495012,0.28572434117346973,0.03346849023220629,0.1993742269749653,0.27443281739779385,-0.09716872894334627
mmp,0.75,raw_downsampled,8-<12,36,0.13394755431457356,0.18483923958376866,0.7302112644154153,0.23795718192097756,0.050891685269195096,0.11273275979675156,0.14106339610312876,-0.027605625858354355
mmp,0.75,raw_downsampled,>=12,16,0.38588146929386036,0.344953936929145,0.8784434306917572,0.3838043779208544,-0.04092753236471537,0.1799965743502277,0.19823870795904844,0.17014434353961616
mmp,1,conditional_positive,4-<8,38,0.15408653348924553,0.28572434117346973,1,0.28572434117346973,0.13163780768422423,0.26119649197584777,0.3191563707733506,-0.48391275712442505
mmp,1,conditional_positive,8-<12,36,0.13394755431457356,0.23795718192097756,1,0.23795718192097756,0.104009627606404,0.13730578983357916,0.1606485531196536,-0.33275843409813066
mmp,1,conditional_positive,>=12,16,0.38588146929386036,0.3838043779208544,1,0.3838043779208544,-0.0020770913730059504,0.18712940006602544,0.21684172214330333,0.007086679294217357
mmp,1,prevalence_corrected,4-<8,38,0.15408653348924553,0.16749138826417476,0.5300198475228787,0.28572434117346973,0.01340485477492922,0.1877697725183745,0.26746744074625817,-0.042181061649118945
mmp,1,prevalence_corrected,8-<12,36,0.13394755431457356,0.17979179174836663,0.7025718140186771,0.23795718192097756,0.04584423743379306,0.11066785731175917,0.1396201337036309,-0.006685705372542872
mmp,1,prevalence_corrected,>=12,16,0.38588146929386036,0.3366543145064782,0.8522718754678806,0.3838043779208544,-0.049227154787382155,0.17685987745572296,0.19518474154627868,0.19551607697847717
mmp,1,raw_downsampled,4-<8,38,0.15408653348924553,0.16749138826417476,0.5300198475228787,0.28572434117346973,0.01340485477492922,0.1877697725183745,0.26746744074625817,-0.042181061649118945
mmp,1,raw_downsampled,8-<12,36,0.13394755431457356,0.17979179174836663,0.7025718140186771,0.23795718192097756,0.04584423743379306,0.11066785731175917,0.1396201337036309,-0.006685705372542872
mmp,1,raw_downsampled,>=12,16,0.38588146929386036,0.3366543145064782,0.8522718754678806,0.3838043779208544,-0.049227154787382155,0.17685987745572296,0.19518474154627868,0.19551607697847717
