learner,predicted_change_pp,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,disturbance_text,severe_probability,tail_expert_change_pp,predicted_post_cover,error_pp,scheme,fold,absolute_error_pp
Aggressive extreme ensemble,-4.402135582950989,542,ltmp,19-131a,U/N Reef (19-131a),2024,0.4562967207282716,0.5035090681241302,4.721234739585861,5.81666666666667,0.15580743050357476,0,0.45,5.8287453483906155,0.02197802197802198,18.8,0.0064,  ,0.05052460230840997,-13.534516972586047,0.4122753648987617,9.12337032253685,reef_blocked_5fold,5,9.12337032253685
Aggressive extreme ensemble,-10.478382890609483,2431,mmp,17-009a,Tobias Spit (17-009a),2024,0.3552809499113012,0.1601073468744418,-19.51736030368594,6.32,0.2715440227550341,0.748991096360115,0.8,6.845372987621058,0.6153846153846154,0,1e-4,"clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",0.1908820687948711,-17.40106643349357,0.2504971210052064,-9.038977413076458,reef_blocked_5fold,4,9.038977413076458
Aggressive extreme ensemble,-22.09072930973708,2237,manta,23-055a,One Tree Island Reef (23-055a),2024,0.6064749895445039,0.2967154689292574,-30.975952061524648,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,"Aerial bl 4 2024  DHW 11.81  coral bleaching, coral disease, crown-of-thorns starfish, unknown storm",0.9359720940024131,-22.047588529643246,0.38556769644713307,-8.88522275178757,reef_blocked_5fold,3,8.88522275178757
Aggressive extreme ensemble,-0.3278300759706254,1988,manta,20-309,Tern Reef (20-309),2024,0.23058207569061542,0.13966852747250766,-9.091354821810777,7.54,0.1532054981939306,0,0.35,5.410388454901543,0.01098901098901099,1,0,Incipient outbreak  crown-of-thorns starfish,0.010238559267808797,-13.205369479047022,0.22730377493090917,-8.76352474584015,reef_blocked_5fold,4,8.76352474584015
Aggressive extreme ensemble,0.9979774723851975,1915,manta,20-014,Hayman Island Reef (20-014),2024,0.15508503949186497,0.2513719816639524,9.628694217208745,5.79416666666667,0.14030141659542145,0.205780518226557,0.3,5.8287453483906155,0.01098901098901099,12,0,DHW 5.85  coral bleaching,0.00885581021259379,-12.435421159268678,0.16506481421571695,8.630716744823546,reef_blocked_5fold,1,8.630716744823546
Aggressive extreme ensemble,-21.98167912764214,2997,mmp,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,0.4840089198869416,0.17797019321167112,-30.60387266752705,12.3,0.9831720862579035,0.874654366947519,0.1,5.3548966285573405,0,0,NA,bleaching still evident at time of surveys  coral bleaching,0.9026087835500554,-22.131587668168233,0.2641921286105202,-8.622193539884911,reef_blocked_5fold,2,8.622193539884911
Aggressive extreme ensemble,-9.083899055717076,581,ltmp,19-207,Hyde Reef (19-207),2024,0.29518550152676976,0.2904672305751619,-0.47182709516078725,9.50714285714286,0.7162796368719883,0,0.45,5.8287453483906155,0.01098901098901099,33,8e-4,  ,0.10487938293531633,-12.298656523581949,0.204346510969599,8.612071960556289,reef_blocked_5fold,5,8.612071960556289
Aggressive extreme ensemble,-1.7828154425528209,403,ltmp,18-032,Rib Reef (18-032),2024,0.1740384528498136,0.2407698893036725,6.67314364538589,6.7,0.25835783163767373,0.0708951209808588,1,6.212002270133139,0.12087912087912088,7,7e-4,  ,0.009998679994347686,-14.205450572765802,0.15621029842428538,8.45595908793871,reef_blocked_5fold,3,8.45595908793871
Aggressive extreme ensemble,-3.2392006325982936,1841,manta,19-135,Hardy Reef (19-135),2024,0.43699201717370284,0.488574466673557,5.158244949985413,5.07602739726027,NA,0,0.4,5.8287453483906155,0.02197802197802198,16.875,0,  ,0.047340321846432894,-15.207447671680056,0.4046000108477199,8.397445582583707,reef_blocked_5fold,4,8.397445582583707
Aggressive extreme ensemble,-2.5753098448405956,1709,manta,18-086,Chicken Reef (18-086),2024,0.2640352540479171,0.32195806044148995,5.792280639357283,6.32323232323232,0.43773493291083154,0,0.4,5.947264586791359,0.06593406593406594,6.48529411764706,0.02,  ,0.011828230370307856,-14.077126408506508,0.23828215559951116,8.36759048419788,reef_blocked_5fold,4,8.36759048419788
