predictor,median,scheme,fold
previous_change_available,1,reef_blocked_5fold,1
wqc_available,1,reef_blocked_5fold,1
cots_available,1,reef_blocked_5fold,1
mortality_environment_available,0,reef_blocked_5fold,1
weather_available,0,reef_blocked_5fold,1
pre_cover,0.2417448672087406,reef_blocked_5fold,2
available_space,0.7582551327912594,reef_blocked_5fold,2
interval_years,1.0102669404517455,reef_blocked_5fold,2
prior_change_pp,0.7237133350219762,reef_blocked_5fold,2
prop_acropora_pre,0.2741229924727205,reef_blocked_5fold,2
acropora_cover_pre,0.06087881765355683,reef_blocked_5fold,2
depth,9,reef_blocked_5fold,2
sst_maxdhw,1,reef_blocked_5fold,2
histmDHW6,7.43,reef_blocked_5fold,2
yrsince6,4,reef_blocked_5fold,2
dhw10_load4,5.54,reef_blocked_5fold,2
dhw_novelty10,-1.55,reef_blocked_5fold,2
secc3m_p10,10.924304652731434,reef_blocked_5fold,2
cloudp_90,0.7100266,reef_blocked_5fold,2
wqc_freqcc12,0.082639385806104,reef_blocked_5fold,2
wqc_prior10_percentile,0.5,reef_blocked_5fold,2
log1p_cyc_maxHrs4mw,0,reef_blocked_5fold,2
log1p_cot_idwmeanpertow,0.00189819728308025,reef_blocked_5fold,2
log_coastal_rain30,5.9714322021140145,reef_blocked_5fold,2
era5_wind_mean,5.81605863571167,reef_blocked_5fold,2
era5_wind_calm_fraction,0.0989010989010989,reef_blocked_5fold,2
era5_coastal_distance_km,53.443772818368494,reef_blocked_5fold,2
uq_coralsink1,0.421052634716034,reef_blocked_5fold,2
previous_change_available,1,reef_blocked_5fold,2
wqc_available,1,reef_blocked_5fold,2
cots_available,1,reef_blocked_5fold,2
mortality_environment_available,0,reef_blocked_5fold,2
weather_available,0,reef_blocked_5fold,2
pre_cover,0.23317263558929438,reef_blocked_5fold,3
available_space,0.7668273644107056,reef_blocked_5fold,3
interval_years,1.0075290896646132,reef_blocked_5fold,3
prior_change_pp,0.6183242058737104,reef_blocked_5fold,3
prop_acropora_pre,0.2234438738768718,reef_blocked_5fold,3
acropora_cover_pre,0.04931610362211835,reef_blocked_5fold,3
depth,9,reef_blocked_5fold,3
sst_maxdhw,1.005490566037735,reef_blocked_5fold,3
