programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,joint_reef_fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,log_coastal_rain30,era5_wind_mean,era5_wind_calm_fraction,era5_coastal_distance_km,DISTURBANCE_TYPE,description,observed_mortality,predicted_occurrence,predicted_positive_loss,predicted_mortality,learner,scheme,fold,residual,absolute_error,severe,nonsevere
manta,4284672,22-088a,U/N Reef (22-088a),2024,Southern GBR,2,7.58,0.2864416104796866,0.29321535546036537,5.293126064302306,7.698933601379395,0.05494505494505494,175.33603223489754,NA,NA,0.3397865462448271,0.2809999606438649,0.14654251665298398,0.04117844141214141,joint_compound_brt,leave_one_event_out,2024,0.29860810483268574,0.29860810483268574,TRUE,FALSE
ltmp,4186339,22-102,Chinaman Reef (22-102),2024,Southern GBR,5,9.41,0.14325013683013463,0.22135253766117685,5.293126064302306,7.634066581726074,0.05494505494505494,221.91002299353315,b,decline hc,0.1549831580635079,0.3631861542902208,0.09814914710040744,0.03564641128226215,joint_compound_brt,leave_one_event_out,2024,0.11933674678124576,0.11933674678124576,FALSE,TRUE
manta,4284635,22-102,Chinaman Reef (22-102),2024,Southern GBR,5,9.41,0.14325013683013463,0.18136489645736495,5.293126064302306,7.634066581726074,0.05494505494505494,221.91002299353315,b,Aerial bl 3 2024 DHW 9.57,0,0.3372924263914594,0.06769589625116544,0.02283331310330009,joint_compound_brt,leave_one_event_out,2024,-0.02283331310330009,0.02283331310330009,FALSE,TRUE
ltmp,4182001,22-104a,Horseshoe Reef (No 1) (22-104a),2024,Southern GBR,1,9.08,0.4872440402232475,0.25910214651422714,5.293126064302306,7.664971828460693,0.05494505494505494,198.3246302201427,b,hc decline,0.10896430189600032,0.30863108529299493,0.14056288834130456,0.04338207678069489,joint_compound_brt,leave_one_event_out,2024,0.06558222511530543,0.06558222511530543,FALSE,TRUE
manta,3989230,22-104a,Horseshoe Reef (No 1) (22-104a),2024,Southern GBR,1,9.08,0.4872440402232475,0.13717349711137905,5.293126064302306,7.664971828460693,0.05494505494505494,198.3246302201427,b,DHW 9.19,0.0026179461240754,0.17787480592000957,0.06332294465436289,0.0112635564906783,joint_compound_brt,leave_one_event_out,2024,-0.0086456103666029,0.0086456103666029,FALSE,TRUE
mmp,4143649,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,1,12.41,0.9702392451266664,0.17797019321167112,5.3548966285573405,7.717053890228272,0,25.58889965967512,b,further decline as a result of bleaching in 2024,0.649764667289415,0.6124932631359143,0.21074583277743175,0.1290804028101449,joint_compound_brt,leave_one_event_out,2024,0.52068426447927,0.52068426447927,TRUE,FALSE
mmp,4143650,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,1,12.41,0.9831720862579036,0.4840089198869416,5.3548966285573405,7.717053890228272,0,25.58889965967512,b,bleaching still evident at time of surveys,0.6322997657703442,0.5695936301670534,0.22940171574284235,0.13066575603651606,joint_compound_brt,leave_one_event_out,2024,0.5016340097338281,0.5016340097338281,TRUE,FALSE
mmp,4143665,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,1,12.41,0.8174194259823503,0.1995331402172967,5.3548966285573405,7.717053890228272,0,25.58889965967512,b,further decline as a result of bleaching in 2024,0.2382175190368768,0.5546977303060944,0.17393978264084578,0.09648400264081256,joint_compound_brt,leave_one_event_out,2024,0.14173351639606424,0.14173351639606424,TRUE,FALSE
mmp,4143666,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,Southern GBR,1,12.41,0.855313419480824,0.26841942818408787,5.3548966285573405,7.717053890228272,0,25.58889965967512,b,bleaching still evident at time of surveys,0.25663674359498084,0.46473913985354304,0.18200699771459403,0.0845857755652062,joint_compound_brt,leave_one_event_out,2024,0.17205096802977465,0.17205096802977465,TRUE,FALSE
mmp,4138915,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,Southern GBR,2,12.23,0.4589503712397904,0.094141417582425,5.455125136460727,7.59745454788208,0,25.541262425425487,b,further decline as a result of bleaching in 2024,0.48766349684223503,0.5747391311577488,0.1728592317454682,0.09934896466598632,joint_compound_brt,leave_one_event_out,2024,0.3883145321762487,0.3883145321762487,TRUE,FALSE
