source_observation_id,ReefID,ReefName,region_block,ann_maxdhw,prop_acropora_pre,log_coastal_rain30,era5_wind_calm_fraction,DISTURBANCE_TYPE,description,observed_mortality,predicted_mortality_joint_compound_brms,predicted_mortality_joint_compound_brt,predicted_mortality_joint_core_brt,predicted_mortality_formal_spatial_benchmark,absolute_error_joint_compound_brms,absolute_error_joint_compound_brt,absolute_error_joint_core_brt,absolute_error_formal_spatial_benchmark,coastal_rain30_mm,weather_gain_vs_core,weather_gain_vs_formal
4284698,21-562,Turner Reef (21-562),Southern GBR,9.27,0.12813436740046336,5.293126064302306,0.03296703296703297,NA,NA,0.3153081782272817,0.11163345715478036,0.15738945576823793,0.14650922556924692,0.0953462284556619,0.20367472107250137,0.15791872245904376,0.16879895265803477,0.21996194977161979,197.9644298553466,0.010880230198991009,0.06204322731257603
4285225,13-124,U/N Reef (13-124),Northern GBR,7.65,0.1774292151097992,6.655036804576533,0.1868131868131868,b,DHW 7.65,0.38359369951258,0.12154639718775737,0.1997180459299881,0.19022466067199456,0.3085518901229556,0.26204730232482265,0.18387565358259195,0.19336903884058548,0.0750418093896244,775.6865081787112,0.009493385257993536,-0.10883384419296754
4284476,22-084,U/N Reef (22-084),Southern GBR,8.47,0.10148678379186,5.293126064302306,0.05494505494505494,NA,NA,0.2971606639822993,0.07949105849466856,0.036143101215786,0.02988832497212158,0.0592312763386282,0.21766960548763073,0.2610175627665133,0.2672723390101777,0.23792938764367108,197.9644298553466,0.006254776243664439,-0.023088175122842197
4284566,21-550,U/N Reef (21-550),Southern GBR,7.85,0.22806223341999204,5.293126064302306,0.05494505494505494,NA,NA,0.3105929180461531,0.1756876814591775,0.18786196098233585,0.18165019147475048,0.16006346900445906,0.13490523658697556,0.12273095706381726,0.1289427265714026,0.15052944904169402,197.9644298553466,0.006211769507585341,0.02779849197787676
4285342,13-133,Tydeman Reef (13-133),Northern GBR,7.18,0.36088278135206137,6.686516551675772,0.17582417582417584,b,Aerial bl 3 2024 DHW 7.18,0.26606508064600476,0.11733021937676388,0.15094082170037004,0.14701445598846108,0.14911225890081106,0.1487348612692409,0.11512425894563472,0.11905062465754368,0.1169528217451937,800.5253114700319,0.0039263657119089634,0.0018285627995589804
4284513,23-069,Mast Head Reef (23-069),Southern GBR,11.08,0.7967591332408196,5.301987044294902,0.01098901098901099,b,DHW 11.17,0.27324709489204596,0.3401200372853073,0.1737047822315961,0.17463594429537818,0.15436432954356832,0.06687294239326136,0.09954231266044986,0.09861115059666778,0.11888276534847764,199.7352838516235,-9.311620637820761e-4,0.01934045268802778
4285333,14-016,Corbett Reef (14-016),Northern GBR,7.49,0.29881445006710233,6.495755978645292,0.17582417582417584,b,Aerial bl 3 2024 DHW 6.82,0.41992308186246713,0.11563982826895078,0.2263108087018761,0.22801994771998535,0.30178370448473896,0.3042832535935164,0.19361227316059104,0.19190313414248175,0.11813937737772817,661.3247394561769,-0.0017091390181092903,-0.07547289578286287
4067240,19-209,Rebe Reef (19-209),Central GBR,11.14,0.6402774310653515,5.8287453483906155,0.01098901098901099,b,DHW 9.3 to 11.1,0.2429906656982307,0.4074150274866562,0.2515731216439072,0.23883143190718,0.20853554225835028,0.1644243617884255,0.00858245594567652,0.0041592337910507,0.034455123439880414,338.931915283203,-0.004423222154625821,0.025872667494203895
4067086,21-139,U/N Reef (21-139),Southern GBR,8.6,0.161084953587778,5.04829112437769,0.03296703296703297,NA,NA,0.21994377052766945,0.18357377336254616,0.2274600505659742,0.21698746707858363,0.3023401775462872,0.03636999716512323,0.00751628003830479,0.00295630344908579,0.08239640701861778,154.75606918334967,-0.004559976589219,0.07488012698031299
4066917,21-062,U/N Reef (21-062),Southern GBR,8.21,0.28973125972355407,5.04829112437769,0.01098901098901099,b,Aerial bl 4 2024 DHW 8.21 2024,0.2163631144836532,0.07610066373335937,0.08842258322303728,0.09790878736454003,0.11478645637403462,0.1402624507502939,0.12794053126061594,0.11845432711911318,0.10157665810961858,154.75606918334967,-0.009486204141502766,-0.026363873150997363
4284760,23-082a,Lady Musgrave Reef (23-082a),Southern GBR,11.12,0.9474516636293956,5.801442997806395,0.01098901098901099,m,Aerial bl 4 2024 DHW 11.42,0.3784926956594735,0.4719222985577451,0.30441370747179664,0.31958395106639487,0.20432528671936023,0.09342960289827155,0.07407898818767689,0.05890874459307865,0.1741674089401133,329.77652549743664,-0.015170243594598239,0.1000884207524364
4284588,21-558,U/N Reef (21-558),Southern GBR,7.54,0.07481468055436158,5.04829112437769,0.03296703296703297,NA,NA,0.25960430422350816,0.07657572660636022,0.11983002022681234,0.1368514464651764,0.1883752857666896,0.18302857761714791,0.13977428399669584,0.12275285775833178,0.07122901845681856,154.75606918334967,-0.017021426238364057,-0.06854526553987728
4285399,14-126,Linnet Reef (14-126),Northern GBR,6.73,0.6343256027311654,6.662192357426267,0.2307692307692308,b,DHW 6.73,0.7147170912272767,0.12802732799603425,0.2727125916338674,0.2920422420174791,0.29750971434346546,0.5866897632312424,0.44200449959340926,0.4226748492097976,0.4172073768838112,781.2640609741208,-0.019329650383611674,-0.024797122709598052
4068096,18-075,John Brewer Reef (18-075),Central GBR,5.79,0.2646118463495706,6.096021794618455,0.08791208791208792,m,Cyclone Kirrily,0.26174312602717364,0.06516867685375634,0.03741784984118712,0.06306680302546308,0.1436245063671713,0.19657444917341732,0.22432527618598652,0.19867632300171056,0.11811861966000234,443.08757972717285,-0.025648953184275958,-0.10620665652598418
4067141,21-060,U/N Reef (21-060),Southern GBR,8.99,0.4194754038758102,5.04829112437769,0.01098901098901099,NA,NA,0.3164588026273036,0.10433197053583287,0.10143588573161395,0.13278214461332324,0.13861479366384588,0.2121268320914707,0.2150229168956896,0.1836766580139803,0.1778440089634577,154.75606918334967,-0.03134625888170928,-0.037178907932231886
4284498,23-081,Fairfax Islands Reef (23-081),Southern GBR,11.26,0.8421051184060283,5.784058808178996,0.01098901098901099,b,Aerial bl 4 2024 DHW 11.46 2024,0.37356823802927674,0.5265788107690815,0.5271001472857665,0.4867647324450887,0.39100962076321666,0.15301057273980478,0.15353190925648974,0.11319649441581198,0.017441382733939914,324.0759372711182,-0.040335414840677764,-0.13609052652254983
4284380,21-305,East Cay Reef (21-305),Southern GBR,7.67,0.21688656916806204,5.04829112437769,0.03296703296703297,b,Aerial bl 5 2024 DHW 7.67,0.2779171356313509,0.06016605729490781,0.14270251482374427,0.18336599031318448,0.13582986965770627,0.21775107833644308,0.13521462080760663,0.09455114531816644,0.14208726597364463,154.75606918334967,-0.04066347548944019,0.0068726451660379995
4206349,16-028,Low Islands Reef (16-028),Central GBR,6.42,0.07365554786941506,6.900914657280194,0.6263736263736264,m,Jasper,0.4177050324727606,0.4086849940926754,0.34986683184419703,0.42704384008907287,0.20201376351521289,0.00902003838008519,0.06783820062856355,0.00933880761631228,0.2156912689575477,992.1827220916751,-0.058499393012251266,0.14785306832898415
4284526,23-051,Wreck Island Reef (23-051),Southern GBR,11.64,0.9797631868153628,5.301987044294902,0.03296703296703297,m,Aerial bl 5 2024  DHW 11.64,0.3704552530009853,0.5244482131595861,0.5201135712263569,0.456867153999403,0.2772342125532682,0.1539929601586008,0.14965831822537162,0.08641190099841767,0.09322104044771712,199.7352838516235,-0.06324641722695395,-0.056437277777654504
